,Year,Site,Group.1,Group.2,ActivityStartDate,Day.x,Month.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,Dissolved.oxygen..DO.,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS,Days_Since_Peak_Discharge,...1,agency_cd,datetime,Day.y,Month.y,STAT
99,2010,DL,10-Aug,Clark Fork River at Deer Lodge,8/5/2010,5,8,49.64295238,39.375,19.9,8.403333333,385.6666667,7.046666667,8.93,,-70.03333333,0.0071,0.0473,0.033366667,204.7,0.319333333,0.078733333,1470,49,14,USGS,6/17/2010,17,6,A
107,2010,MS,10-Aug,Clark Fork River above Missoula,8/6/2010,6,8,120.95,50.28571429,18.83333333,7.66,283,2.246666667,8.56,,-28.5,0.009933333,0.003533333,0.006566667,150.5,0.189,0.0176,10100,49,83,USGS,6/18/2010,18,6,A
183,2016,BN,16-Jul,Clark Fork River at Bonita,7/16/2016,16,7,159.4885116,178.8008108,17.3,8.135,465.15,0.94,6.68,69.5,206.2,0.008033333,0.001633333,0.001233333,302.3,0.211666667,0.0088,1330,49,62,USGS,5/28/2016,28,5,A
189,2016,GR,16-Jul,Clark Fork River above Little Blackfoot,7/16/2016,16,7,195.4755556,170.2084444,15.55,8.15,438.3,1.37,8.67,87,209.2,0.0219,0.00125,0.0231,284.7,0.285,0.04325,598,49,35,USGS,5/28/2016,28,5,A
222,2018,GR,18-Aug,Clark Fork River above Little Blackfoot,8/9/2018,9,8,72.15738095,58.51875,16.05,8.505,418.55,1.815,11.425,116.1,14.05,0.0194,0.065866667,0.007633333,272,0.337333333,0.028066667,2450,50,37,USGS,6/20/2018,20,6,A
249,2020,DL,20-Aug,Clark Fork River at Deer Lodge,8/8/2020,8,8,182.8999167,75.960625,16.6,8.115,444.65,2.425,8.93,,,,0.077,0.007,,0.295,0.017,1590,50,24,USGS,6/19/2020,19,6,A
209,2017,HU,17-Aug,Clark Fork River at Huson,8/5/2017,5,8,24.59052381,8.97,19.4,8.2,242.9,1.7025,8.925,97.05,201.05,0.01475,0.0563,0.0017,157.95,0.2565,0.01435,29200,52,144,USGS,6/14/2017,14,6,A
199,2017,BN,17-Aug,Clark Fork River at Bonita,8/6/2017,6,8,25.86190476,16.04285714,17.85,8.305,507.45,1.64,9.31,98.4,247.8,0.0152,0.00695,0.00195,329.85,0.2725,0.0147,5140,53,63,USGS,6/14/2017,14,6,A
207,2017,GR,17-Aug,Clark Fork River above Little Blackfoot,8/7/2017,7,8,116.2428571,167.6380952,16.2,8.23,472.95,0.875,10.33,105,263.9,0.012533333,0.07435,0.00455,307.4,0.321,0.0174,1840,54,36,USGS,6/14/2017,14,6,A
285,2022,FH,22-Aug,Clark Fork River above Flathead,8/6/2022,6,8,6.24437619,4.041176471,19.73333333,8.196666667,227.1333333,0.96,77.98666667,,,0.016666667,0.0165,0.0185,,0.17,0.029333333,35700,54,176,USGS,6/13/2022,13,6,A
290,2022,HU,22-Aug,Clark Fork River at Huson,8/6/2022,6,8,33.23872857,14.6875,18.7,7.936666667,251.1666667,3.803333333,65.27333333,,,0.01,0.037333333,0.0015,,0.2,0.032333333,28700,54,149,USGS,6/13/2022,13,6,A
113,2011,DL,11-Aug,Clark Fork River at Deer Lodge,8/8/2011,8,8,66.19047619,16.23809524,16.26666667,8.346666667,317.4,4.456666667,8.956666667,,218.6,0.018433333,0.089466667,0.029233333,206.4666667,0.304,0.0503,1960,55,15,USGS,6/14/2011,14,6,A
185,2016,DL,16-Jul,Clark Fork River at Deer Lodge,7/16/2016,16,7,389.1023256,118.6211628,16.05,8.285,400.2,1.9,9.045,91.9,231.7,0.012,0.0387,0.0036,260.3,0.2945,0.0194,507,55,20,USGS,5/22/2016,22,5,A
202,2017,DL,17-Aug,Clark Fork River at Deer Lodge,8/8/2017,8,8,190.5857143,99.56190476,16,8.135,421.5,1.3,9.07,91.95,274.7,0.013933333,0.240733333,0.0038,274,0.530666667,0.016866667,1560,55,21,USGS,6/14/2017,14,6,A
212,2017,MS,17-Aug,Clark Fork River above Missoula,8/8/2017,8,8,106.6142857,56.6,16.75,8.455,267.3,1.62,9.515,98.5,243.55,0.0116,0.00205,0.002,173.85,0.18,0.01085,14700,55,90,USGS,6/14/2017,14,6,A
196,2017,BM,17-Aug,Clark Fork River below Missoula,8/9/2017,9,8,24.99047619,6.585714286,16.5,8.185,273,1.785,8.39,86,248.85,0.01255,0.0318,0.0039,177.45,0.196,0.0156,29200,56,117,USGS,6/14/2017,14,6,A
283,2022,DL,22-Aug,Clark Fork River at Deer Lodge,8/7/2022,7,8,175.9389958,87.08333333,19.45,8.37,490.05,1.345,59.29,,,0.015,0.1145,0.0019,,0.3,0.012,856,56,26,USGS,6/12/2022,12,6,A:e
288,2022,GR,22-Aug,Clark Fork River above Little Blackfoot,8/8/2022,8,8,75.09674762,115.0952381,21,8.585,466.15,1.695,66.625,,,0.015,0.006,0.007,,0.205,0.034,923,56,41,USGS,6/13/2022,13,6,A
280,2022,BN,22-Aug,Clark Fork River at Bonita,8/9/2022,9,8,145.048281,39.71428571,22.4,8.475,519.9,4.39,85.18,,,0.013333333,0.005,0.003666667,,0.176666667,0.019333333,2170,57,68,USGS,6/13/2022,13,6,A
154,2014,BM,14-Jul,Clark Fork River below Missoula,7/23/2014,23,7,39.95247619,14.63684211,16.95,8.13,228.75,3.79,9,,-129.15,,0.0093,0.00825,148.85,0.145,0.02025,33400,58,114,USGS,5/26/2014,26,5,A
111,2011,BN,11-Aug,Clark Fork River at Bonita,8/8/2011,8,8,26.57166667,16.44444444,17.1,8.356666667,373.1333333,2.816666667,8.413333333,,223.6666667,0.0081,0.005233333,0.0233,242.6666667,0.182333333,0.0396,7740,59,57,USGS,6/10/2011,10,6,A
117,2011,GR,11-Aug,Clark Fork River above Little Blackfoot,8/8/2011,8,8,50.66666667,13,16.9,8.446666667,332.5666667,3.386666667,9.713333333,,217.8666667,0.0143,0.0658,0.0315,216.2333333,0.305,0.051566667,2560,59,30,USGS,6/10/2011,10,6,A
253,2020,GR,20-Aug,Clark Fork River above Little Blackfoot,8/7/2020,7,8,88.30558333,139.6645,17.95,8.375,448.5,3.92,10.37,,,,0.017,0.0115,,0.24,0.02,2040,59,39,USGS,6/9/2020,9,6,A:R
240,2019,MS,19-Jul,Clark Fork River above Missoula,7/17/2019,17,7,119.8768095,79.84019512,17.4,8.58,277.3,5.13,8.86,92.7,,0.01,0.005,0.0245,180.375,0.125,0.0295,16200,60,92,USGS,5/18/2019,18,5,A
95,2010,BM,10-Aug,Clark Fork River below Missoula,8/6/2010,6,8,66.4047619,20.52631579,18.43333333,7.993333333,277,2.81,8.37,,-45.16666667,0.009933333,0.046466667,0.006233333,147.2666667,0.233,0.019666667,23100,61,110,USGS,6/6/2010,6,6,A
102,2010,FH,10-Aug,Clark Fork River above Flathead,8/7/2010,7,8,38.36363636,15.66666667,22.9,8.413333333,235.6666667,1.39,8.356666667,,-71.76666667,0.00615,0.008,0.00355,125.5333333,0.1665,0.010675,26400,61,164,USGS,6/7/2010,7,6,A
105,2010,HU,10-Aug,Clark Fork River at Huson,8/6/2010,6,8,63.74545455,20.42857143,21.73333333,8.18,263,3.526666667,8.323333333,,-57.56666667,0.009933333,0.043966667,0.004266667,139.8,0.245333333,0.020466667,23100,61,137,USGS,6/6/2010,6,6,A
109,2011,BM,11-Aug,Clark Fork River below Missoula,8/9/2011,9,8,44.28571429,13.0952381,16.1,8.396666667,239.2666667,2.1,8.933333333,,255.0666667,0.024566667,0.030766667,0.010466667,155.5333333,0.171666667,0.020933333,46600,61,111,USGS,6/9/2011,9,6,A
115,2011,FH,11-Aug,Clark Fork River above Flathead,8/10/2011,10,8,6.190857143,6.944444444,18.56666667,8.463333333,196.3666667,1.126666667,8.676666667,,207.3,0.0099,0.00525,0.004525,127.6333333,0.118615,0.0153,54700,61,165,USGS,6/10/2011,10,6,A
121,2011,MS,11-Aug,Clark Fork River above Missoula,8/10/2011,10,8,14.90514286,9.785714286,15.4,8.383333333,240.7333333,2.156666667,8.996666667,,205.7,0.009533333,0.00464,0.010966667,156.4333333,0.130333333,0.0181,28100,61,84,USGS,6/10/2011,10,6,A
257,2020,MS,20-Jul,Clark Fork River above Missoula,7/21/2020,21,7,39.09814815,68.23259259,18.65,8.18,257.5,8.16,8.965,,,,,0.006,,0.11,0.017,20000,61,93,USGS,5/21/2020,21,5,A
232,2019,DL,19-Jul,Clark Fork River at Deer Lodge,7/19/2019,19,7,188.5196434,66.87256236,18.05,8.85,345.4,3.23,10.925,115.7,,0.025,0.0295,0.0255,224.575,0.235,0.034,1280,62,23,USGS,5/18/2019,18,5,A
245,2020,BN,20-Jul,Clark Fork River at Bonita,7/23/2020,23,7,52.93957143,77.21176471,19.5,8.195,378.8,5.015,8.275,,,,,0.009,,0.15,0.027,3670,62,66,USGS,5/22/2020,22,5,A
119,2011,HU,11-Aug,Clark Fork River at Huson,8/11/2011,11,8,16.80952381,6.8,17.86666667,8.323333333,219.2666667,2.17,8.956666667,,218.7,0.012725,0.046575,0.007075,142.5666667,0.203595,0.021825,46600,63,138,USGS,6/9/2011,9,6,A
166,2015,BN,15-Aug,Clark Fork River at Bonita,8/5/2015,5,8,179.15,151.9,16.25,8.215,504.25,4.165,7.94,80.9,119.9,0.01315,0.00285,0.0019,327.6,0.261,0.02115,1500,63,61,USGS,6/3/2015,3,6,A
172,2015,FH,15-Aug,Clark Fork River above Flathead,8/5/2015,5,8,36.25,20.2,18.5,8.525,211.55,1.04,8.235,87.9,137.9,0.0092,0.00545,,137.5,0.187,0.01005,17000,63,169,USGS,6/3/2015,3,6,A
174,2015,GR,15-Aug,Clark Fork River above Little Blackfoot,8/5/2015,5,8,312.1904762,183.5714286,14.35,8.21,477.4,1.585,9.81,96.2,124.05,0.014675,0.005925,0.006933333,310.4,0.2125,0.024033333,807,63,34,USGS,6/3/2015,3,6,A
176,2015,HU,15-Aug,Clark Fork River at Huson,8/5/2015,5,8,7.15055,6.1,19.2,8.51,231.6,2.045,9.35,101.85,118.65,0.01155,0.0182,0.0017,150.5,0.2205,0.0178,15200,63,142,USGS,6/3/2015,3,6,A
193,2016,MS,16-Jul,Clark Fork River above Missoula,7/12/2016,12,7,114.755814,76.10093023,17.4,8.28,247.05,1.195,7.195,75.15,204.8,,0.0011,8.00E-04,160.55,0.1405,0.009533333,7660,63,89,USGS,5/10/2016,10,5,A
205,2017,FH,17-Aug,Clark Fork River above Flathead,8/5/2017,5,8,8.824,5.76875,19,8.305,222.75,0.9165,8.525,91.8,201.95,0.02205,0.02775,0.0016,144.6,0.1825,0.0079,34500,63,171,USGS,6/3/2017,3,6,A
266,2021,DL,21-Aug,Clark Fork River at Deer Lodge,8/8/2021,8,8,139.5714286,37.19047619,16.8,8.43,514.05,3.03,11.18,,,0.03,0.093,,,0.33,0.017,590,63,25,USGS,6/6/2021,6,6,A
271,2021,GR,21-Aug,Clark Fork River above Little Blackfoot,8/8/2021,8,8,238.8571429,61.80952381,18.75,8.615,498.7,3.215,11.215,,,0,0.004,0.003,,0.26,0.03,577,63,40,USGS,6/6/2021,6,6,A
163,2015,BM,15-Aug,Clark Fork River below Missoula,8/6/2015,6,8,100.2380952,24.76190476,16.3,8.345,281.5,2.9,7.815,79.75,177.15,0.0121,0.02155,0.0021,182.95,0.2275,0.01925,15200,64,115,USGS,6/3/2015,3,6,A
169,2015,DL,15-Aug,Clark Fork River at Deer Lodge,8/6/2015,6,8,224.5909545,103.1428571,14.45,8.315,464.8,1.33,9.945,97.6,169.35,0.009666667,0.159633333,0.00235,302.25,0.406,0.01255,628,64,19,USGS,6/3/2015,3,6,A
179,2015,MS,15-Aug,Clark Fork River above Missoula,8/6/2015,6,8,61.76190476,22.04761905,16.5,7.985,286,3.005,7.735,79.2,175.9,0.01725,0.0026,0.0018,185.9,0.265,0.0157,7010,64,88,USGS,6/3/2015,3,6,A
236,2019,GR,19-Jul,Clark Fork River above Little Blackfoot,7/21/2019,21,7,24.7161332,47.52297297,19.4,8.735,378.15,4.03,9.815,106.65,,0.0137,,0.046,245.705,0.23,0.053,1420,64,38,USGS,5/18/2019,18,5,A
268,2021,FH,21-Aug,Clark Fork River above Flathead,8/9/2021,9,8,19.4047619,9.538095238,18.1,8.36,251.3,2.25,8.95,,,0.02,0.006,,,0.13,0.008,31700,64,175,USGS,6/6/2021,6,6,A
