,Year,Site,Group.1,Group.2,ActivityStartDate,Day.x,Month.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,Dissolved.oxygen..DO.,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS,Days_Since_Peak_Discharge,...1,agency_cd,datetime,Day.y,Month.y,STAT
153,2013,MS,13-Sep,Clark Fork River above Missoula,9/5/2013,5,9,93.38095238,37.95238095,15.15,8.225,294.95,2.32,6.2,,-448.4,0.010823333,0.000968,0.00371,191.8,0.146845,0.01041,12300,114,86,USGS,5/14/2013,14,5,A
138,2013,BM,13-Sep,Clark Fork River below Missoula,9/7/2013,7,9,81.42857143,14.47619048,15.25,8.415,293.2,2.515,9.86,,-453.45,0.013633333,0.04233,0.007416667,190.45,0.226896667,0.01763,25600,115,113,USGS,5/15/2013,15,5,A
221,2018,FH,18-Sep,Clark Fork River above Flathead,9/7/2018,7,9,29.8047619,13.1047619,13.75,8.215,257.4,1.205,9.235,89.1,44.25,0.0256,0.01905,0.001,167.4,0.1535,0.00895,59700,118,172,USGS,5/12/2018,12,5,A
182,2016,BM,16-Sep,Clark Fork River below Missoula,9/6/2016,6,9,285.7619048,51.02380952,12.1,8.27,290.4,5.39,,,150.3,0.01685,0.03125,0.0017,188.8,0.21,0.02185,16800,120,116,USGS,5/9/2016,9,5,A
192,2016,HU,16-Sep,Clark Fork River at Huson,9/6/2016,6,9,70.33333333,15.6047619,14.45,8.305,254.15,2.695,8.41,85.7,145.7,0.01735,0.06355,0.0012,165.1,0.2075,0.0132,16800,120,143,USGS,5/9/2016,9,5,A
225,2018,HU,18-Sep,Clark Fork River at Huson,9/8/2018,8,9,28.75714286,7.357142857,14.35,8.24,277,1.92,9.265,91.1,40.15,0.016633333,0.0332,0.0017,180.1,0.218,0.01245,51200,120,145,USGS,5/11/2018,11,5,A
188,2016,FH,16-Sep,Clark Fork River above Flathead,9/8/2016,8,9,7.857571429,15.03333333,14,8.375,234.4,1.52,7.75,78,130.25,0.0276,0.008,0.001025,152.45,0.190333333,0.011233333,20800,121,170,USGS,5/10/2016,10,5,A
227,2018,MS,18-Sep,Clark Fork River above Missoula,9/10/2018,10,9,66.75714286,17.14285714,14.4,8.465,309.7,2.65,11.06,108.4,46.2,0.02255,0.0418,0.0014,201.2,0.1535,0.01235,31500,122,91,USGS,5/11/2018,11,5,A
215,2018,BM,18-Sep,Clark Fork River below Missoula,9/11/2018,11,9,148.3619048,23.26666667,14.15,8.24,310.6,1.89,10.125,98.35,29.95,0.020466667,0.038233333,0.002266667,201.85,0.221333333,0.014466667,51200,123,118,USGS,5/11/2018,11,5,A
126,2012,BN,12-Sep,Clark Fork River at Bonita,9/3/2012,3,9,159.8571905,71.28571429,12.95,8.335,473.75,1.49,9.81,,194.35,,0.00199,0.00247,308.1,0.188365,0.011925,2180,128,58,USGS,4/28/2012,28,4,A
130,2012,FH,12-Sep,Clark Fork River above Flathead,9/4/2012,4,9,12.048,10.6,15.25,8.55,211,1.235,8.815,,123.6,0.00607,0.010585,0.00175,137.5,0.196455,0.00778,42200,129,166,USGS,4/28/2012,28,4,A
134,2012,HU,12-Sep,Clark Fork River at Huson,9/4/2012,4,9,47.33333333,9.380952381,14.7,8.42,230.1,2.235,9.695,,138.05,,0.04407,0.00169,149.55,0.21797,0.014515,33700,129,139,USGS,4/28/2012,28,4,A
124,2012,BM,12-Sep,Clark Fork River below Missoula,9/5/2012,5,9,161.3809524,27.80952381,12.45,8.29,255.05,1.825,9.705,,195.95,0.006965,0.041556667,0.002033333,165.75,0.19846,0.012236667,33700,130,112,USGS,4/28/2012,28,4,A
136,2012,MS,12-Sep,Clark Fork River above Missoula,9/5/2012,5,9,63.28571429,27.42857143,11.75,8.345,280.9,1.415,9.66,,222.4,0.00703,0.0022,0.00172,182.65,0.159635,0.0089,17600,130,85,USGS,4/28/2012,28,4,A
231,2019,BN,19-Aug,Clark Fork River at Bonita,8/23/2019,23,8,117.65,55.81333333,20.75,8.63,412,3.61,8.685,96.25,,0.03,0.003,0.026666667,265.85,0.19,0.027666667,3640,137,65,USGS,4/8/2019,8,4,A
156,2014,BN,14-Aug,Clark Fork River at Bonita,8/15/2014,15,8,126.4318409,79.19767442,18.65,8.25,533,3.135,8.74,,236.85,0.01765,0.00455,0.01725,346.45,0.2305,0.0335,2620,157,60,USGS,3/11/2014,11,3,A
75,2008,GR,8-Sep,Clark Fork River above Little Blackfoot,9/7/2008,7,9,134.8,36.17,12.35,8.965,471,3.18,10.195,52.35,-75.5,0.01,0.041,,250.5,0.291,0.0335,,,,,,,,
76,2008,GR,8-Aug,Clark Fork River above Little Blackfoot,8/10/2008,10,8,129.1,102.315,16.3,8.386666667,471.3333333,1.643333333,8.8,89.9,-68.43333333,0.01,0.006,,250.6666667,0.206,0.021,,,,,,,,
