"","Year","agency_cd","site_no","datetime","Day","Q_CFS","STAT"
"221",20150,"USGS","DL","10/31/2015",31,205,"A"
"222",22165,"USGS","DL","11/4/2015",4,256,"A"
"223",24180,"USGS","DL","12/9/2015",9,268,"A"
"224",2016,"USGS","DL","1/29/2016",29,244,"A"
"225",4032,"USGS","DL","2/18/2016",18,320,"A"
"226",6048,"USGS","DL","3/14/2016",14,261,"A"
"227",8064,"USGS","DL","4/25/2016",25,412,"A"
"228",10080,"USGS","DL","5/22/2016",22,507,"A"
"229",12096,"USGS","DL","6/9/2016",9,434,"A"
"230",14112,"USGS","DL","7/12/2016",12,173,"A"
"231",16128,"USGS","DL","8/24/2016",24,109,"A"
"232",18144,"USGS","DL","9/24/2016",24,167,"A"
"233",20160,"USGS","DL","10/31/2016",31,223,"A"
"234",22176,"USGS","DL","11/23/2016",23,236,"A"
"235",24192,"USGS","DL","12/2/2016",2,223,"A"
"236",2017,"USGS","DL","1/30/2017",30,210,"A"
"237",4034,"USGS","DL","2/10/2017",10,341,"A"
"238",6051,"USGS","DL","3/18/2017",18,359,"A"
"239",8068,"USGS","DL","4/25/2017",25,329,"A"
"240",10085,"USGS","DL","5/18/2017",18,496,"A"
"241",12102,"USGS","DL","6/14/2017",14,1560,"A"
"242",14119,"USGS","DL","7/1/2017",1,249,"A"
"243",16136,"USGS","DL","8/1/2017",1,89.3,"A"
"244",18153,"USGS","DL","9/25/2017",25,164,"A"
"245",20170,"USGS","DL","10/14/2017",14,222,"A"
"246",22187,"USGS","DL","11/25/2017",25,316,"A"
"247",24204,"USGS","DL","12/1/2017",1,265,"A"
"248",2018,"USGS","DL","1/19/2018",19,299,"A"
"249",4036,"USGS","DL","2/8/2018",8,413,"A"
"250",6054,"USGS","DL","3/25/2018",25,436,"A"
"251",8072,"USGS","DL","4/30/2018",30,707,"A"
"252",10090,"USGS","DL","5/31/2018",31,1560,"A"
"253",12108,"USGS","DL","6/22/2018",22,2180,"A"
"254",14126,"USGS","DL","7/1/2018",1,1360,"A"
"255",16144,"USGS","DL","8/29/2018",29,255,"A"
"256",18162,"USGS","DL","9/1/2018",1,238,"A"
"257",20180,"USGS","DL","10/10/2018",10,365,"A"
"258",22198,"USGS","DL","11/3/2018",3,396,"A"
"259",24216,"USGS","DL","12/1/2018",1,323,"A"
"260",2019,"USGS","DL","1/3/2019",3,318,"A"
"261",4038,"USGS","DL","2/2/2019",2,307,"A"
"262",6057,"USGS","DL","3/27/2019",27,812,"A"
"263",8076,"USGS","DL","4/9/2019",9,1000,"A"
"264",10095,"USGS","DL","5/18/2019",18,1280,"A"
"265",12114,"USGS","DL","6/5/2019",5,1170,"A"
"266",14133,"USGS","DL","7/4/2019",4,355,"A"
"267",16152,"USGS","DL","8/12/2019",12,241,"A"
"268",18171,"USGS","DL","9/30/2019",30,319,"A"
"269",20190,"USGS","DL","10/24/2019",24,373,"A"
"270",22209,"USGS","DL","11/5/2019",5,343,"A"
"271",24228,"USGS","DL","12/8/2019",8,318,"A"
"272",2020,"USGS","DL","1/1/2020",1,294,"A"
"273",4040,"USGS","DL","2/2/2020",2,300,"A"
"274",6060,"USGS","DL","3/10/2020",10,332,"A"
"275",8080,"USGS","DL","4/30/2020",30,360,"A"
"276",10100,"USGS","DL","5/21/2020",21,1040,"A"
"277",12120,"USGS","DL","6/19/2020",19,1590,"A"
"278",14140,"USGS","DL","7/1/2020",1,1420,"A"
"279",16160,"USGS","DL","8/1/2020",1,282,"A"
"280",18180,"USGS","DL","9/30/2020",30,286,"A"
"281",20200,"USGS","DL","10/20/2020",20,565,"A"
"282",22220,"USGS","DL","11/18/2020",18,486,"A"
"283",24240,"USGS","DL","12/9/2020",9,358,"A"
"284",2021,"USGS","DL","1/2/2021",2,363,"A"
"285",4042,"USGS","DL","2/3/2021",3,303,"A"
"286",6063,"USGS","DL","3/6/2021",6,384,"A"
"287",8084,"USGS","DL","4/5/2021",5,340,"A"
"288",10105,"USGS","DL","5/24/2021",24,383,"A"
"289",12126,"USGS","DL","6/6/2021",6,590,"A"
"290",14147,"USGS","DL","7/2/2021",2,137,"A"
"291",16168,"USGS","DL","8/22/2021",22,209,"A"
"292",18189,"USGS","DL","9/21/2021",21,173,"A"
"293",20210,"USGS","DL","10/31/2021",31,252,"A"
"294",22231,"USGS","DL","11/13/2021",13,263,"A"
"295",24252,"USGS","DL","12/14/2021",14,257,"A"
"296",2022,"USGS","DL","1/13/2022",13,239,"A"
"297",4044,"USGS","DL","2/19/2022",19,232,"A"
"298",6066,"USGS","DL","3/2/2022",2,268,"A"
"299",8088,"USGS","DL","4/1/2022",1,247,"A"
