,Year,Month,Site,Group.1,Group.2,ActivityStartDate,Day.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,T/W,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,...1,TN_DISS,TP_DISS,X.Arsenic..water..filtered..micrograms.per.liter,X.Cadmium..water..filtered..micrograms.per.liter,X.Copper..water..filtered..micrograms.per.liter,X.Iron..water..filtered..micrograms.per.liter,X.Lead..water..filtered..micrograms.per.liter,X.Manganese..water..filtered..micrograms.per.liter,X.Zinc..water..filtered..micrograms.per.liter
336,2021,7,BN,21-Jul,Clark Fork River at Bonita,7/14/2021,14,186.2727273,137.1363636,21.65,8.67,548.7,2.61,0.019032151,,,,0.005,0.005,,0.23,0.0175,1650,2830,0.76356982,48,52,0.0125,0.225,8.6,0.054,5.7,14.1,0.136,12.7,3.1
199,2013,8,GR,13-Aug,Clark Fork River above Little Blackfoot,8/7/2013,7,196.8888889,107.0740741,16.55,8.385,486.6,1.52,0.01419578,,-426.7,0.007526667,0.001373333,0.016336667,316.2,0.26929,0.027523333,394,270,1.207998038,69,113,0.011186666,0.275443334,16.2,0.03,7.1,10,0.135,12.3,4.9
269,2017,8,GR,17-Aug,Clark Fork River above Little Blackfoot,8/7/2017,7,116.2428571,167.6380952,16.2,8.23,472.95,0.875,0.005219577,105,263.9,0.012533333,0.07435,0.00455,307.4,0.321,0.0174,1840,270,2.610520028,54,117,0.01285,0.259183333,19.6,0.082,11.5,17.2,0.132,29.9,8.4
348,2021,9,DL,21-Sep,Clark Fork River at Deer Lodge,9/5/2021,5,99.07145238,30.80952381,9.65,8.19,532.6,2.98,0.096723338,,,,0.119,,,0.31,0.012,590,266,1.489310281,91,79,0.012,0.191,13.2,0.113,6.7,17,0.131,24.5,2.4
203,2013,9,BN,13-Sep,Clark Fork River at Bonita,9/4/2013,4,119.6190476,63.47619048,15.75,8.28,520,7.23,0.113900975,,-445.55,0.011295,0.001225,0.00701,338,0.236165,0.028765,1080,2830,0.617758401,96,44,0.021755,0.246235,11.2,0.024,2.8,28.4,0.129,11.5,2.2
325,2020,8,GR,20-Aug,Clark Fork River above Little Blackfoot,8/7/2020,7,88.30558333,139.6645,17.95,8.375,448.5,3.92,0.028067261,,,,0.017,0.0115,,0.24,0.02,2040,270,2.748737084,59,120,0.0085,0.223,13.4,0.099,8.7,13.7,0.117,15.3,3.1
350,2021,9,GR,21-Sep,Clark Fork River above Little Blackfoot,9/6/2021,6,144.8571429,46.80952381,10.55,8.52,509.45,1.985,0.0424059,,,0.01,0.034,0.002,,0.225,0.0155,577,270,1.461860813,92,121,0.0135,0.201,13.4,0.094,7.7,13.2,0.117,15.5,2
358,2022,8,BN,22-Aug,Clark Fork River at Bonita,8/9/2022,9,145.048281,39.71428571,22.4,8.475,519.9,4.39,0.110539568,,,0.013333333,0.005,0.003666667,,0.176666667,0.019333333,2170,2830,0.875662294,57,53,0.015666666,0.185,11.3,0.053,4.8,10.3,0.117,13.9,2.2
122,2009,8,GR,9-Aug,Clark Fork River above Little Blackfoot,8/7/2009,7,102.2047619,95.22,19.36666667,8.603333333,429.3333333,2.81,0.029510607,,-68.6,0.007573333,0.014306667,0.01594,228,0.262,0.035736667,1420,270,2.293307493,67,109,0.019796667,0.255266666,16.1,0.073,11.1,15.6,0.115,18.5,5.8
237,2015,9,DL,15-Sep,Clark Fork River at Deer Lodge,9/9/2015,9,158.3809524,50.85714286,11.7,8.385,471.1,3.365,0.06616573,92.3,150.45,0.01455,0.0891,0.0025,306.15,0.389,0.019,628,266,1.536522781,98,73,0.0165,0.31445,14.1,0.047,7.3,13.7,0.114,11.7,3.1
292,2018,9,DL,18-Sep,Clark Fork River at Deer Lodge,9/6/2018,6,74.23333333,28.5952381,11.45,8.16,441.9,2.74,0.09582015,88.85,64.05,0.014633333,0.13,0.00465,287.35,0.394,0.027633333,2180,266,2.862776401,76,76,0.022983333,0.278633333,18,0.077,9.6,17.4,0.113,17.7,4.3
287,2018,8,GR,18-Aug,Clark Fork River above Little Blackfoot,8/9/2018,9,72.15738095,58.51875,16.05,8.505,418.55,1.815,0.0310157,116.1,14.05,0.0194,0.065866667,0.007633333,272,0.337333333,0.028066667,2450,270,3.01232038,50,118,0.020433334,0.290866666,19.6,0.076,11.4,12.8,0.113,18.8,4.3
212,2014,8,BN,14-Aug,Clark Fork River at Bonita,8/15/2014,15,126.4318409,79.19767442,18.65,8.25,533,3.135,0.039584496,,236.85,0.01765,0.00455,0.01725,346.45,0.2305,0.0335,2620,2830,0.962182443,157,45,0.01625,0.2436,12.8,0.046,5.2,11.8,0.113,15.6,3.8
205,2013,9,GR,13-Sep,Clark Fork River above Little Blackfoot,9/3/2013,3,150.0689655,71.71428571,14.9,8.265,499.15,2.085,0.029073705,,-411.05,0.00904,0.009025,0.016175,324.35,0.27177,0.029835,394,270,1.207998038,96,113,0.01366,0.271785,16.1,0.024,6.2,9.2,0.113,19.9,2.3
285,2018,8,DL,18-Aug,Clark Fork River at Deer Lodge,8/7/2018,7,46.92419048,43.48461538,14,8.175,411.55,2.895,0.06657527,93.6,19.05,0.01985,0.1002,0.00875,267.5,0.348,0.0304,2180,266,2.862776401,46,76,0.02165,0.26765,17.8,0.069,9.8,15.1,0.109,20.3,5.3
305,2019,8,GR,19-Aug,Clark Fork River above Little Blackfoot,8/24/2019,24,128.109619,54.61052632,19.7,8.65,443.9,2.6,0.047609869,98.7,,0.03,0.074,0.03,288.28,0.31,0.0375,1420,270,2.293307493,98,119,0.0075,0.266,17.8,0.061,8.2,10.7,0.109,21.7,2.9
284,2018,8,BN,18-Aug,Clark Fork River at Bonita,8/7/2018,7,8.12447619,27.97142857,17.95,8.385,447.65,2,0.071501532,101.2,6,0.0089,0.0047,0.0118,291.2,0.216,0.03365,5870,2830,1.440210036,47,49,0.02185,0.2202,13,0.054,6.8,11.1,0.107,16.2,4.7
230,2015,8,DL,15-Aug,Clark Fork River at Deer Lodge,8/6/2015,6,224.5909545,103.1428571,14.45,8.315,464.8,1.33,0.012894737,97.6,169.35,0.009666667,0.159633333,0.00235,302.25,0.406,0.01255,628,266,1.536522781,64,73,0.0102,0.256033334,15.7,0.046,6.9,8.1,0.103,17.4,2.7
129,2009,9,GR,9-Sep,Clark Fork River above Little Blackfoot,9/7/2009,7,126.2857143,60.65,17.73333333,8.35,446.6666667,2.326666667,0.038362187,,-66.86666667,0.00843,0.00605,0.008946667,237.3333333,0.233666667,0.020806667,1420,270,2.293307493,98,109,0.01186,0.236046667,19.8,0.062,14.1,7.2,0.1,19.9,4.3
181,2012,9,DL,12-Sep,Clark Fork River at Deer Lodge,9/3/2012,3,180.7142857,58.33333333,12.35,8.51,412.25,2.33,0.039942857,,181.75,0.00847,0.1038,0.003035,268.1,0.355545,0.017345,781,266,1.713502327,89,70,0.01431,0.260215,16,0.047,7.2,13,0.099,20,3.6
138,2010,8,DL,10-Aug,Clark Fork River at Deer Lodge,8/5/2010,5,49.64295238,39.375,19.9,8.403333333,385.6666667,7.046666667,0.178962963,,-70.03333333,0.0071,0.0473,0.033366667,204.7,0.319333333,0.078733333,1470,266,2.35081173,49,68,0.045366666,0.279133333,17.3,0.055,7.7,7.6,0.099,29.7,3.8
266,2017,8,BN,17-Aug,Clark Fork River at Bonita,8/6/2017,6,25.86190476,16.04285714,17.85,8.305,507.45,1.64,0.10222618,98.4,247.8,0.0152,0.00695,0.00195,329.85,0.2725,0.0147,5140,2830,1.347684836,53,48,0.01275,0.28075,14,0.05,6.6,11,0.098,13.4,3.6
303,2019,8,DL,19-Aug,Clark Fork River at Deer Lodge,8/24/2019,24,188.9727273,75.89090909,19.65,8.495,437.3,2.92,0.038476282,101.7,,0.03,0.1425,0.0285,284.375,0.345,0.0255,1280,266,2.193633988,98,77,,0.2325,17.6,0.053,7.7,14.2,0.097,18,2.2
183,2012,9,GR,12-Sep,Clark Fork River above Little Blackfoot,9/3/2012,3,147.7619048,57.0952381,11.75,8.465,438.15,2.275,0.039845705,,182.45,,,0.0035,284.7,0.27037,0.02242,999,270,1.923538406,89,112,0.01892,0.27037,17.9,0.039,7.7,9.8,0.096,21.6,1.9
357,2022,7,MS,22-Jul,Clark Fork River above Missoula,7/24/2022,24,86.8108619,29.70731707,20.5,8.315,251.45,5.92,0.199277504,,,0.03,0.021,0.0195,,0.125,0.042,11800,2580,2.138607821,42,176,0.0225,0.134,2.2,0.03,1.8,22.1,0.095,3.96,2
323,2020,8,DL,20-Aug,Clark Fork River at Deer Lodge,8/8/2020,8,182.8999167,75.960625,16.6,8.115,444.65,2.425,0.031924435,,,,0.077,0.007,,0.295,0.017,1590,266,2.444881103,50,78,0.01,0.218,12.1,0.091,7.3,16,0.095,17.2,3.6
322,2020,8,BN,20-Aug,Clark Fork River at Bonita,8/8/2020,8,69.39333333,27.51904762,19.55,8.4,481.15,3.015,0.109560478,,,,,0.0085,,0.205,0.0175,3670,2830,1.138779956,78,51,0.009,0.205,9.9,0.065,5.6,10,0.094,15.9,3.6
320,2020,7,MS,20-Jul,Clark Fork River above Missoula,7/21/2020,21,39.09814815,68.23259259,18.65,8.18,257.5,8.16,0.119590942,,,,,0.006,,0.11,0.017,20000,2580,2.784230232,61,174,0.011,0.11,3.1,0.03,2.8,29.7,0.093,6.89,2.5
302,2019,8,BN,19-Aug,Clark Fork River at Bonita,8/23/2019,23,117.65,55.81333333,20.75,8.63,412,3.61,0.064679885,96.25,,0.03,0.003,0.026666667,265.85,0.19,0.027666667,3640,2830,1.134115991,137,50,0.001,0.217,11.8,0.034,4.5,10,0.09,16.7,3.1
332,2020,9,GR,20-Sep,Clark Fork River above Little Blackfoot,9/5/2020,5,147.9741667,66.27791667,12.35,8.265,489.1,2.4,0.036211156,,,0.02,0.036,0.013666667,,0.25,0.022333333,2040,270,2.748737084,88,120,0.008666666,0.234,15,0.075,7.1,10,0.089,24.6,2.1
127,2009,9,DL,9-Sep,Clark Fork River at Deer Lodge,9/7/2009,7,502.9047619,91.8,17.66666667,8.503333333,434.6666667,2.24,0.024400871,,-77.56666667,0.011886667,0.057916667,0.00663,231,0.289666667,0.01827,1140,266,2.070196678,98,67,0.01164,0.243636667,19.4,0.051,6.8,9.6,0.089,21.8,6.9
232,2015,8,GR,15-Aug,Clark Fork River above Little Blackfoot,8/5/2015,5,312.1904762,183.5714286,14.35,8.21,477.4,1.585,0.008634241,96.2,124.05,0.014675,0.005925,0.006933333,310.4,0.2125,0.024033333,807,270,1.728840331,63,115,0.0171,0.22125,17.2,0.05,8.1,,0.086,8.56,2
294,2018,9,GR,18-Sep,Clark Fork River above Little Blackfoot,9/6/2018,6,218.3571905,69.89,12.9,8.285,450.85,3.48,0.049792531,105.5,61.75,0.0249,0.0893,0.0079,293.15,0.368,0.0319,2450,270,3.01232038,78,118,0.024,0.3036,20.8,0.062,10.2,10,0.086,7.56,2.1
