"","date_yearmon","Site","ActivityStartDate","Ammonia","Chlorophyll a, corrected for pheophytin","Kjeldahl nitrogen","Nitrate + Nitrite","Orthophosphate","pH","Specific conductance","Temperature, water","Total dissolved solids","Total Nitrogen, mixed forms","Total Phosphorus, mixed forms","Turbidity","Weight"
"287",Sep 2016,"Clark Fork River at Huson",2016-09-12,17.35,NA,NA,63.55,1.2,8.305,254.15,14.45,165100,207.5,13.2,2.695,NA
"288",Jul 2017,"Clark Fork River at Huson",2017-07-23,11.425,NA,NA,58.9,2.1,NA,NA,NA,NA,243.333333333333,14.4666666666667,NA,NA
"289",Aug 2017,"Clark Fork River at Huson",2017-08-12,14.75,NA,NA,56.3,1.7,8.2,242.9,19.4,157950,256.5,14.35,1.7025,NA
"290",Sep 2017,"Clark Fork River at Huson",2017-09-11,13.75,NA,NA,86.65,1.3,8.145,275.3,15.05,178750,309,10.4,2.1265,NA
"291",Jul 2018,"Clark Fork River at Huson",2018-07-15,9.7,NA,NA,6.25,3.45,NA,NA,NA,NA,164,19.1,NA,NA
"292",Aug 2018,"Clark Fork River at Huson",2018-08-12,15.8,NA,NA,58.45,1.8,8.165,255.6,17.3,166100,234.5,17.1,2.145,NA
"293",Sep 2018,"Clark Fork River at Huson",2018-09-14,16.6333333333333,NA,NA,33.2,1.7,NA,NA,NA,NA,218,12.45,NA,NA
"294",Jul 2019,"Clark Fork River at Huson",2019-07-12,23.3333333333333,NA,NA,29,14.3333333333333,NA,NA,NA,NA,170,27,NA,NA
"295",Aug 2019,"Clark Fork River at Huson",2019-08-14,30,NA,NA,42.5,15.5,8.485,274.9,20.4,178750,190,14,1.71,NA
"296",Sep 2019,"Clark Fork River at Huson",2019-09-13,17.5,NA,NA,33,13.3333333333333,NA,NA,NA,NA,170,21.6666666666667,NA,NA
"297",Jul 2020,"Clark Fork River at Huson",2020-07-22,NA,NA,NA,5,4,8.25,209.45,19.25,NA,120,15,5.325,NA
"298",Aug 2020,"Clark Fork River at Huson",2020-08-11,9,NA,NA,23,4,NA,NA,NA,NA,155,12.5,NA,NA
"299",Sep 2020,"Clark Fork River at Huson",2020-09-16,20,NA,NA,47.3333333333333,5.33333333333333,NA,NA,NA,NA,176.666666666667,10.6666666666667,NA,NA
"300",Jul 2021,"Clark Fork River at Huson",2021-07-21,30,NA,NA,22,1.45,NA,NA,NA,NA,155,16.5,NA,NA
"301",Aug 2021,"Clark Fork River at Huson",2021-08-24,20,NA,NA,10,NA,NA,NA,NA,NA,150,15,NA,NA
"302",Sep 2021,"Clark Fork River at Huson",2021-09-15,20,NA,NA,14.5,NA,NA,NA,NA,NA,155,12,NA,NA
"303",Oct 2021,"Clark Fork River at Huson",2021-10-08,10,NA,NA,38,2,NA,NA,NA,NA,160,13,NA,NA
"304",Jul 2022,"Clark Fork River at Huson",2022-07-15,NA,NA,NA,8,2,7.91,178.1,19.2,NA,120,17,4.75,NA
"305",Aug 2022,"Clark Fork River at Huson",2022-08-15,20,NA,NA,37.3333333333333,NA,7.93666666666667,251.166666666667,18.7,NA,NA,32.3333333333333,3.80333333333333,NA
"306",Sep 2022,"Clark Fork River at Huson",2022-09-23,NA,NA,NA,7.5,1.4,8.24,279.9,15.65,NA,200,11.5,2.265,NA
"307",Jun 2008,"Clark Fork River below Missoula",2008-06-19,25,NA,300,37.5,NA,8.435,174.65,12,92350,NA,57,19.35,NA
"308",Jul 2008,"Clark Fork River below Missoula",2008-07-17,26.6666666666667,NA,200,22.3333333333333,NA,8.52,233,16.8,123833.333333333,NA,24,5.2,NA
"309",Aug 2008,"Clark Fork River below Missoula",2008-08-21,40,NA,NA,42.3333333333333,NA,8.44333333333333,265.666666666667,15.8666666666667,145466.666666667,NA,13.3333333333333,2.59333333333333,NA
"310",Sep 2008,"Clark Fork River below Missoula",2008-09-20,16.6666666666667,NA,200,46,NA,NA,NA,NA,NA,NA,19,NA,NA
"311",Jun 2009,"Clark Fork River below Missoula",2009-06-25,3.89,NA,NA,17.97,12.73,8.2,201,16,107000,NA,31.81,7.51,NA
"312",Jul 2009,"Clark Fork River below Missoula",2009-07-16,5.86666666666667,NA,NA,20.8166666666667,9.56,8.22333333333333,242.333333333333,16.1666666666667,128666.666666667,192.666666666667,19.0466666666667,4.24666666666667,NA
"313",Aug 2009,"Clark Fork River below Missoula",2009-08-15,8.28,NA,NA,44.78,5.31,8.38666666666667,277.333333333333,17.2,146966.666666667,228.333333333333,19.8333333333333,3.52,NA
"314",Sep 2009,"Clark Fork River below Missoula",2009-09-10,14.858,NA,NA,41.462,12.128,8.30666666666667,307,15.6,162766.666666667,247.75,27.225,2.13333333333333,NA
"315",Jun 2010,"Clark Fork River below Missoula",2010-06-24,15.9,NA,NA,41.6,17,7.59,193,16.5,102500,288,55.2,17.4,NA
"316",Jul 2010,"Clark Fork River below Missoula",2010-07-15,8.56666666666667,NA,NA,23.1,8.93333333333333,7.79333333333333,235.333333333333,17.8333333333333,125200,187,19.5666666666667,3.44333333333333,NA
"317",Aug 2010,"Clark Fork River below Missoula",2010-08-12,9.93333333333333,NA,NA,46.4666666666667,6.23333333333333,7.99333333333333,277,18.4333333333333,147266.666666667,233,19.6666666666667,2.81,NA
"318",Sep 2010,"Clark Fork River below Missoula",2010-09-09,31.925,NA,NA,59.25,6.85,8.23666666666667,303.666666666667,13.0666666666667,161333.333333333,264.75,19.65,3.98666666666667,NA
"319",Jun 2011,"Clark Fork River below Missoula",2011-06-26,15.8,NA,NA,26.2,16.25,8.04,136.6,12.6,88750,NA,102.25,44.2,NA
"320",Jul 2011,"Clark Fork River below Missoula",2011-07-21,11.6666666666667,NA,NA,22.4666666666667,12.2666666666667,8.3,203.3,14.5,132200,185.666666666667,33.5666666666667,7.76666666666667,NA
"321",Aug 2011,"Clark Fork River below Missoula",2011-08-18,24.5666666666667,NA,NA,30.7666666666667,10.4666666666667,8.39666666666667,239.266666666667,16.1,155533.333333333,171.666666666667,20.9333333333333,2.1,NA
"322",Sep 2011,"Clark Fork River below Missoula",2011-09-16,7.2,NA,NA,49.6,6.6,NA,NA,NA,NA,201.666666666667,13.0333333333333,NA,NA
"323",Jun 2012,"Clark Fork River below Missoula",2012-06-24,6.495,NA,NA,17.485,8.66,8.225,163,12.7,106000,186.28,21.235,4.82,NA
"324",Jul 2012,"Clark Fork River below Missoula",2012-07-19,21.08,NA,NA,20.9433333333333,6.78,8.26333333333333,231.133333333333,17.9666666666667,150133.333333333,246.236666666667,17.64,1.84,NA
"325",Aug 2012,"Clark Fork River below Missoula",2012-08-18,10.26,NA,NA,35.9166666666667,5,NA,NA,NA,NA,215.63,15.75,NA,NA
"326",Sep 2012,"Clark Fork River below Missoula",2012-09-08,6.965,NA,NA,41.5566666666667,2.03333333333333,NA,NA,NA,NA,198.46,12.2366666666667,NA,NA
"327",Jul 2013,"Clark Fork River below Missoula",2013-07-18,13.79,NA,NA,22.955,3.34,8.345,246.9,18.95,160550,216.07,12.82,2.07,NA
"328",Aug 2013,"Clark Fork River below Missoula",2013-08-15,13.555,NA,NA,31.145,3.685,8.36,271,17.4,176100,271.875,13.125,2.91,NA
"329",Sep 2013,"Clark Fork River below Missoula",2013-09-15,13.6333333333333,NA,NA,42.33,7.41666666666667,NA,NA,NA,NA,226.896666666667,17.63,NA,NA
"330",Jul 2014,"Clark Fork River below Missoula",2014-07-10,NA,NA,NA,9.3,8.25,8.13,228.75,16.95,148850,145,20.25,3.79,NA
"331",Aug 2014,"Clark Fork River below Missoula",2014-08-14,10.65,NA,NA,21.65,5.25,8.17,281.85,17.45,182950,159,14.35,1.995,NA
"332",Sep 2014,"Clark Fork River below Missoula",2014-09-11,12.95,NA,NA,27.15,8.5,8.085,336,13.3,218400,221,19.25,2.675,NA
"333",Jul 2015,"Clark Fork River below Missoula",2015-07-09,7.5,NA,NA,11.45,2.3,8.395,222.05,18.9,144300,206.5,13.2,1.465,NA
"334",Aug 2015,"Clark Fork River below Missoula",2015-08-13,12.1,NA,NA,21.55,2.1,8.345,281.5,16.3,182950,227.5,19.25,2.9,NA
"335",Sep 2015,"Clark Fork River below Missoula",2015-09-17,11,NA,NA,20.65,2.8,8.435,300.85,13.5,195600,251,20.65,4.76,NA
"336",Jul 2016,"Clark Fork River below Missoula",2016-07-16,7.9,NA,NA,11.3,1.66666666666667,NA,NA,NA,NA,163.5,13.85,NA,NA
"337",Aug 2016,"Clark Fork River below Missoula",2016-08-18,9,NA,NA,31.75,2.4,8.315,261.45,14.75,169950,268.5,23.2,6.54,NA
"338",Sep 2016,"Clark Fork River below Missoula",2016-09-15,16.85,NA,NA,31.25,1.7,8.27,290.4,12.1,188800,210,21.85,5.39,NA
"339",Jul 2017,"Clark Fork River below Missoula",2017-07-15,10.675,NA,NA,10.7666666666667,4.26666666666667,NA,NA,NA,NA,153.666666666667,15.9333333333333,NA,NA
"340",Aug 2017,"Clark Fork River below Missoula",2017-08-16,12.55,NA,NA,31.8,3.9,8.185,273,16.5,177450,196,15.6,1.785,NA
"341",Sep 2017,"Clark Fork River below Missoula",2017-09-13,9.1,NA,NA,28.1,4.1,8.09,303.2,12.15,197000,228.5,16.95,3.085,NA
"342",Jul 2018,"Clark Fork River below Missoula",2018-07-16,41.4,NA,NA,14.3,8.7,8.17,252.9,17.7,164400,180,24.4,3.2,NA
"343",Aug 2018,"Clark Fork River below Missoula",2018-08-15,20.5,NA,NA,28.65,4.85,8.335,285.65,15.8,185600,180.5,17.45,2.31,NA
"344",Sep 2018,"Clark Fork River below Missoula",2018-09-15,20.4666666666667,NA,NA,38.2333333333333,2.26666666666667,NA,NA,NA,NA,221.333333333333,14.4666666666667,NA,NA
"345",Jul 2019,"Clark Fork River below Missoula",2019-07-12,20,NA,NA,19.6666666666667,29.6666666666667,NA,NA,NA,NA,136.666666666667,33.3333333333333,NA,NA
"346",Aug 2019,"Clark Fork River below Missoula",2019-08-14,30,NA,NA,44.5,13.5,8.685,299.05,18.55,194350,170,14,2.9,NA
"347",Sep 2019,"Clark Fork River below Missoula",2019-09-16,15,NA,NA,33.5,16.5,8.275,323.65,13.6,211100,190,46,9.695,NA
"348",Jul 2020,"Clark Fork River below Missoula",2020-07-22,NA,NA,NA,9,5,NA,NA,NA,NA,130,16,NA,NA
"349",Aug 2020,"Clark Fork River below Missoula",2020-08-12,NA,NA,NA,25,4,NA,NA,NA,NA,155,20.5,NA,NA
"350",Sep 2020,"Clark Fork River below Missoula",2020-09-16,20,NA,NA,25,6,NA,NA,NA,NA,156.666666666667,11.3333333333333,NA,NA
"351",Jul 2021,"Clark Fork River below Missoula",2021-07-22,20,NA,NA,20,1,NA,NA,NA,NA,130,15,NA,NA
"352",Aug 2021,"Clark Fork River below Missoula",2021-08-24,20,NA,NA,15,NA,NA,NA,NA,NA,160,7,NA,NA
"353",Sep 2021,"Clark Fork River below Missoula",2021-09-18,20,NA,NA,35.3333333333333,2,NA,NA,NA,NA,163.333333333333,13.6666666666667,NA,NA
"354",Oct 2021,"Clark Fork River below Missoula",2021-10-08,10,NA,NA,22,1,NA,NA,NA,NA,150,15,NA,NA
"355",Jul 2022,"Clark Fork River below Missoula",2022-07-15,NA,NA,NA,10,4,7.99,237.6,17.4,NA,140,19,6.14,NA
"356",Aug 2022,"Clark Fork River below Missoula",2022-08-13,20,NA,NA,33,18.5,8.35333333333333,266.7,20.4,NA,220,31.6666666666667,3.40666666666667,NA
"357",Sep 2022,"Clark Fork River below Missoula",2022-09-21,NA,NA,NA,33,1.5,8.295,313.25,15.05,NA,185,14.5,3.055,NA
"358",Aug 2008,"Clark Fork River above Flathead",2008-08-01,NA,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87647058823529
"359",Sep 2008,"Clark Fork River above Flathead",2008-09-01,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15
"360",Aug 2009,"Clark Fork River above Flathead",2009-08-02,NA,23.047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"361",Sep 2009,"Clark Fork River above Flathead",2009-09-05,NA,51.6190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1
"362",Aug 2010,"Clark Fork River above Flathead",2010-08-01,NA,38.3636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6666666666667
"363",Sep 2010,"Clark Fork River above Flathead",2010-09-10,NA,36.9095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"364",Aug 2011,"Clark Fork River above Flathead",2011-08-02,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94444444444444
"365",Sep 2011,"Clark Fork River above Flathead",2011-09-04,NA,14.952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667
"366",Aug 2012,"Clark Fork River above Flathead",2012-08-01,NA,16.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.14
"367",Sep 2012,"Clark Fork River above Flathead",2012-09-02,NA,19.4615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6
"368",Jul 2013,"Clark Fork River above Flathead",2013-07-31,NA,21.3571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.82352941176471
"369",Aug 2013,"Clark Fork River above Flathead",2013-08-31,NA,15.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25
"370",Aug 2014,"Clark Fork River above Flathead",2014-08-15,NA,22.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6529411764706
"371",Aug 2015,"Clark Fork River above Flathead",2015-08-02,NA,36.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2
"372",Sep 2015,"Clark Fork River above Flathead",2015-09-06,NA,57.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1428571428571
"373",Jul 2016,"Clark Fork River above Flathead",2016-07-29,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.525
"374",Sep 2016,"Clark Fork River above Flathead",2016-09-03,NA,13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0333333333333
"375",Aug 2017,"Clark Fork River above Flathead",2017-08-01,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76875
"376",Sep 2017,"Clark Fork River above Flathead",2017-09-02,NA,20.4333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7285714285714
"377",Aug 2018,"Clark Fork River above Flathead",2018-08-03,NA,15.9210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.945
"378",Sep 2018,"Clark Fork River above Flathead",2018-09-05,NA,29.8047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1047619047619
"379",Aug 2019,"Clark Fork River above Flathead",2019-08-02,NA,16.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.007
"380",Sep 2019,"Clark Fork River above Flathead",2019-09-01,NA,24.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.465
"381",Aug 2020,"Clark Fork River above Flathead",2020-08-03,NA,16.7533333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27571428571429
"382",Sep 2020,"Clark Fork River above Flathead",2020-09-02,NA,16.4980952380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19761904761905
"383",Aug 2021,"Clark Fork River above Flathead",2021-08-04,NA,19.4047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.53809523809524
"384",Sep 2021,"Clark Fork River above Flathead",2021-09-03,NA,50.7619047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2380952380952
"385",Aug 2022,"Clark Fork River above Flathead",2022-08-01,NA,7.71340588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04117647058824
"386",Sep 2022,"Clark Fork River above Flathead",2022-09-02,NA,20.4809238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6747619047619
"387",Aug 2008,"Clark Fork River above Little Blackfoot",2008-08-01,NA,129.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.315
"388",Sep 2008,"Clark Fork River above Little Blackfoot",2008-09-01,NA,134.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.17
"389",Aug 2009,"Clark Fork River above Little Blackfoot",2009-08-01,NA,102.204761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.22
"390",Sep 2009,"Clark Fork River above Little Blackfoot",2009-09-06,NA,126.285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.65
"391",Aug 2010,"Clark Fork River above Little Blackfoot",2010-08-01,NA,64.1478260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8095238095238
"392",Sep 2010,"Clark Fork River above Little Blackfoot",2010-09-10,NA,119.466666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.95
"393",Aug 2011,"Clark Fork River above Little Blackfoot",2011-08-01,NA,50.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"394",Sep 2011,"Clark Fork River above Little Blackfoot",2011-09-03,NA,65.2666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6666666666667
"395",Jul 2012,"Clark Fork River above Little Blackfoot",2012-07-31,NA,85.1904761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6190476190476
"396",Sep 2012,"Clark Fork River above Little Blackfoot",2012-09-01,NA,147.761904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0952380952381
"397",Jun 2013,"Clark Fork River above Little Blackfoot",2013-06-28,NA,63.1363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9565217391304
"398",Aug 2013,"Clark Fork River above Little Blackfoot",2013-08-04,NA,196.888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.074074074074
"399",Sep 2013,"Clark Fork River above Little Blackfoot",2013-09-01,NA,150.068965517241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.7142857142857
"400",Aug 2014,"Clark Fork River above Little Blackfoot",2014-08-14,NA,95.6136363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.952272727273
"401",Jul 2015,"Clark Fork River above Little Blackfoot",2015-07-01,NA,75.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.88
"402",Aug 2015,"Clark Fork River above Little Blackfoot",2015-08-01,NA,312.190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.571428571429
"403",Sep 2015,"Clark Fork River above Little Blackfoot",2015-09-05,NA,129.190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8571428571429
"404",Jul 2016,"Clark Fork River above Little Blackfoot",2016-07-17,NA,195.475555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.208444444444
"405",Sep 2016,"Clark Fork River above Little Blackfoot",2016-09-04,NA,125.17619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9228571428571
"406",Jul 2017,"Clark Fork River above Little Blackfoot",2017-07-05,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7285714285714
"407",Aug 2017,"Clark Fork River above Little Blackfoot",2017-08-02,NA,116.242857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.638095238095
"408",Sep 2017,"Clark Fork River above Little Blackfoot",2017-09-03,NA,77.3409090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.922727272727
"409",Aug 2018,"Clark Fork River above Little Blackfoot",2018-08-04,NA,94.70625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.51875
"410",Sep 2018,"Clark Fork River above Little Blackfoot",2018-09-04,NA,229.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.89
"411",Jul 2019,"Clark Fork River above Little Blackfoot",2019-07-24,NA,34.0678052189189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.522972972973
"412",Aug 2019,"Clark Fork River above Little Blackfoot",2019-08-30,NA,141.594736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6105263157895
"413",Aug 2020,"Clark Fork River above Little Blackfoot",2020-08-05,NA,105.9665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.6645
"414",Sep 2020,"Clark Fork River above Little Blackfoot",2020-09-01,NA,147.974166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.2779166666667
"415",Jul 2021,"Clark Fork River above Little Blackfoot",2021-07-13,NA,99.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.9523809523809
"416",Aug 2021,"Clark Fork River above Little Blackfoot",2021-08-03,NA,238.857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.8095238095238
"417",Sep 2021,"Clark Fork River above Little Blackfoot",2021-09-01,NA,144.857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8095238095238
"418",Jul 2022,"Clark Fork River above Little Blackfoot",2022-07-15,NA,51.6179157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1052631578947
"419",Aug 2022,"Clark Fork River above Little Blackfoot",2022-08-03,NA,75.0967476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.095238095238
"420",Sep 2022,"Clark Fork River above Little Blackfoot",2022-09-03,NA,99.2602409090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.863636363636
"421",Aug 2008,"Clark Fork River above Missoula",2008-08-01,NA,76.2352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3764705882353
"422",Sep 2008,"Clark Fork River above Missoula",2008-09-01,NA,80.1904761904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7428571428571
"423",Aug 2009,"Clark Fork River above Missoula",2009-08-03,NA,116.952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7
"424",Sep 2009,"Clark Fork River above Missoula",2009-09-04,NA,148.045454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7142857142857
"425",Aug 2010,"Clark Fork River above Missoula",2010-08-01,NA,120.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2857142857143
"426",Sep 2010,"Clark Fork River above Missoula",2010-09-10,NA,71.9826086956522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7272727272727
"427",Aug 2011,"Clark Fork River above Missoula",2011-08-03,NA,24.0769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.78571428571429
"428",Sep 2011,"Clark Fork River above Missoula",2011-09-05,NA,51.4761904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3333333333333
"429",Aug 2012,"Clark Fork River above Missoula",2012-08-03,NA,83.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.75
"430",Sep 2012,"Clark Fork River above Missoula",2012-09-03,NA,63.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4285714285714
"431",Aug 2013,"Clark Fork River above Missoula",2013-08-03,NA,74.3809523809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4761904761905
"432",Sep 2013,"Clark Fork River above Missoula",2013-09-02,NA,93.3809523809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9523809523809
"433",Aug 2014,"Clark Fork River above Missoula",2014-08-16,NA,92.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3166666666667
"434",Jul 2015,"Clark Fork River above Missoula",2015-07-03,NA,116.814814814815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5925925925926
