"","date_yearmon","Site","Ammonia","Nitrate + Nitrite","Orthophosphate","pH","Specific conductance","Temperature, water","Total dissolved solids","Total Phosphorus, mixed forms","Total Nitrogen, mixed forms","Turbidity","Weight","Chlorophyll a, corrected for pheophytin","ActivityStartDate"
"31",Apr 2001,"Clark Fork River above Flathead",0.03,0.071,0.003,8.37,239,9.7,NA,0.021,0.2,6.165,NA,NA,2001-04-14
"32",May 2001,"Clark Fork River above Flathead",0.03,0.074,0.007,8,146,13.9,73,0.026,0.2,NA,NA,NA,2001-05-23
"33",Jun 2001,"Clark Fork River above Flathead",NA,0.005,0.002,8.44,173,17.4,87,0.019,0.1,NA,NA,NA,2001-06-20
"34",Jul 2001,"Clark Fork River above Flathead",NA,0.006,0.003,8.55,234,19.4,118,0.018,0.2,NA,NA,NA,2001-07-22
"35",Aug 2001,"Clark Fork River above Flathead",NA,0.014,0.003,8.77,229,19.4,117,0.012,0.2,1.54,NA,NA,2001-08-22
"36",Sep 2001,"Clark Fork River above Flathead",NA,0.011,0.002,8.34,248,15.2,126,0.008,0.3,1.68,NA,NA,2001-09-26
"37",Oct 2001,"Clark Fork River above Flathead",0.04,0.019,0.002,9.54,265,8.6,135,0.011,0.2,2.85,NA,NA,2001-10-25
"38",Nov 2001,"Clark Fork River above Flathead",0.01,0.015,0.002,8.19,235,7.4,127,0.007,NA,2.2,NA,NA,2001-11-20
"39",Dec 2001,"Clark Fork River above Flathead",NA,0.025,0.003,8.52,253,3.4,128,0.002,NA,0.75,NA,NA,2001-12-20
"40",Jan 2002,"Clark Fork River above Flathead",0.02,0.055,0.003,8.79,240,1.9,122,0.006,NA,1.01,NA,NA,2002-01-30
"41",Mar 2002,"Clark Fork River above Flathead",NA,0.071,0.002,6.54,229,2.3,117,0.008,NA,2.23,NA,NA,2002-03-06
"42",Apr 2002,"Clark Fork River above Flathead",0.02,0.092,0.001,8.07,231,5.9,120,0.045,0.4,7.88,NA,NA,2002-04-03
"43",May 2002,"Clark Fork River above Flathead",0.03,0.0475,0.0085,7.61,131,10.55,65.5,0.053,0.3,27.845,NA,NA,2002-05-15
"44",Jun 2002,"Clark Fork River above Flathead",0.03,0.04,0.007,7.9,109,12.3,55,0.043,0.1,25.5,NA,NA,2002-06-19
"45",Jul 2002,"Clark Fork River above Flathead",NA,NA,0.002,7.85,225,21.1,113,0.007,0.1,3.48,NA,NA,2002-07-24
"46",Aug 2002,"Clark Fork River above Flathead",0.03,0.02,NA,8.55,225,17.4,113,0.01,NA,1.71,NA,NA,2002-08-21
"47",Sep 2002,"Clark Fork River above Flathead",NA,0.02,NA,7.77,246,13.3,126,0.01,NA,1.51,NA,NA,2002-09-25
"48",Jun 2003,"Clark Fork River above Flathead",0.015,0.055,0.0115,7.745,131.3,18.5,69.7,0.032,0.3,11.9,NA,NA,2003-06-17
"49",Jul 2003,"Clark Fork River above Flathead",0.02,0.012,0.003,8.16,199.15,24.6,106.35,0.01,0.15,1.105,NA,NA,2003-07-18
"50",Aug 2003,"Clark Fork River above Flathead",0.01,0.00833333333333333,0.0025,8.32,224.333333333333,21.7666666666667,120.466666666667,0.00966666666666667,0.2,0.74,NA,NA,2003-08-12
"51",Sep 2003,"Clark Fork River above Flathead",NA,0.008,0.003,8.48333333333333,251,16.3666666666667,134.233333333333,0.009,0.2,1.39333333333333,NA,NA,2003-09-16
"52",May 2004,"Clark Fork River above Flathead",NA,0.051,0.008,7.93,151.5,125,NA,0.023,0.1,3.42,NA,NA,2004-05-18
"53",Jun 2004,"Clark Fork River above Flathead",0.02,0.036,0.004,8.08333333333333,128.166666666667,16.7333333333333,NA,0.018,0.15,4.28666666666667,NA,NA,2004-06-15
"54",Jul 2004,"Clark Fork River above Flathead",NA,0.011,0.003,8.485,205.7,122.15,NA,0.0115,0.15,1.265,NA,NA,2004-07-22
"55",Aug 2004,"Clark Fork River above Flathead",NA,0.01,0.0045,8.515,215.5,18.75,NA,0.016,0.3,1.91,NA,NA,2004-08-19
"56",Sep 2004,"Clark Fork River above Flathead",0.01,NA,0.00233333333333333,8.44,208.2,15,NA,0.013,0.1,246,NA,NA,2004-09-14
"57",Jan 2005,"Clark Fork River above Flathead",NA,0.134,0.004,7.85,297,1.3,NA,0.014,NA,2.8,NA,NA,2005-01-19
"58",Feb 2005,"Clark Fork River above Flathead",NA,0.007,NA,8.24,228,3.5,NA,0.009,NA,4.1,NA,NA,2005-02-16
"59",Mar 2005,"Clark Fork River above Flathead",NA,0.027,0.005,8.27,215,8,NA,0.018,0.2,5.4,NA,NA,2005-03-16
"60",Apr 2005,"Clark Fork River above Flathead",NA,0.02,0.007,8.08,188,8,NA,0.019,0.2,6.2,NA,NA,2005-04-14
"61",May 2005,"Clark Fork River above Flathead",NA,0.07,0.009,7.42,120,11.7,NA,0.057,0.4,20.8,NA,NA,2005-05-17
"62",Jun 2005,"Clark Fork River above Flathead",0.015,0.0295,0.01,8.19,271.5,14.6,NA,0.0335,0.266666666666667,12.2,NA,NA,2005-06-15
"63",Jul 2005,"Clark Fork River above Flathead",NA,0.007,0.0035,8.54,211,18.7,NA,0.013,0.15,2.3,NA,NA,2005-07-13
"64",Aug 2005,"Clark Fork River above Flathead",NA,0.013,0.034,8.785,220.5,20.1,NA,0.0125,0.3,1,NA,NA,2005-08-13
"65",Sep 2005,"Clark Fork River above Flathead",0.03,0.011,0.0035,8.44666666666667,256.333333333333,15.7,NA,0.00766666666666667,0.1,1.13333333333333,NA,NA,2005-09-14
"66",Oct 2005,"Clark Fork River above Flathead",NA,0.014,0.003,8.54,272,9.3,NA,0.012,0.1,NA,NA,NA,2005-10-19
"67",Nov 2005,"Clark Fork River above Flathead",NA,0.03,0.004,NA,210,3.8,NA,0.011,NA,NA,NA,NA,2005-11-16
"68",Dec 2005,"Clark Fork River above Flathead",NA,0.139,0.003,NA,284,0.9,NA,0.004,NA,NA,NA,NA,2005-12-13
"69",May 2006,"Clark Fork River above Flathead",0.02,0.071,0.009,7.8,125.3,16.4,NA,0.042,0.3,16.7,NA,NA,2006-05-31
"70",Jun 2006,"Clark Fork River above Flathead",0.015,0.025,0.0065,7.965,133.35,16.85,NA,0.0245,0.15,7.46,NA,NA,2006-06-22
"71",Jul 2006,"Clark Fork River above Flathead",0.02,0.008,0.003,8.185,197.6,21.95,NA,0.011,0.1,1.495,NA,NA,2006-07-13
"72",Aug 2006,"Clark Fork River above Flathead",0.01,0.012,0.004,8.39333333333333,226,18.7,NA,0.00825,0.15,0.77,NA,NA,2006-08-18
"73",Sep 2006,"Clark Fork River above Flathead",NA,0.0095,0.004,8.64,250,15.65,NA,0.0085,0.2,1.65,NA,NA,2006-09-21
"74",Jun 2007,"Clark Fork River above Flathead",0.03,0.029,0.00866666666666667,NA,NA,NA,NA,0.03,0.166666666666667,NA,NA,NA,2007-06-16
"75",Jul 2007,"Clark Fork River above Flathead",NA,0.0115,0.005,NA,NA,NA,NA,0.0225,0.25,NA,NA,NA,2007-07-19
"76",Aug 2007,"Clark Fork River above Flathead",0.03,0.01175,0.00325,NA,NA,NA,NA,0.00875,0.175,NA,NA,NA,2007-08-19
"77",Sep 2007,"Clark Fork River above Flathead",NA,0.012,0.0045,NA,NA,NA,NA,0.0125,0.1,NA,NA,NA,2007-09-13
"78",Jun 2008,"Clark Fork River above Flathead",0.015,0.0415,NA,8.165,124.1,14.45,65.8,0.046,0.25,22.25,NA,NA,2008-06-19
"79",Jul 2008,"Clark Fork River above Flathead",0.01,0.015,NA,8.48666666666667,173.433333333333,20.7666666666667,91.9666666666667,0.014,0.15,3.85333333333333,NA,NA,2008-07-17
"80",Aug 2008,"Clark Fork River above Flathead",0.01,0.016,NA,8.67666666666667,221,19.4666666666667,117.333333333333,0.0085,0.133333333333333,1.36333333333333,3.295,4.33333333333333,2008-08-14
"81",Sep 2008,"Clark Fork River above Flathead",NA,0.014,NA,8.865,237,16.45,126,0.0095,0.2,1.77,4.15,13.3,2008-09-09
"82",Jun 2009,"Clark Fork River above Flathead",0.01855,0.03178,0.00939,8.07,146.4,19.2,77.9,0.02404,NA,11.4,NA,NA,2009-06-25
"83",Jul 2009,"Clark Fork River above Flathead",0.00925,0.00583,0.00388,8.29,195.6,22.1,103.933333333333,0.0106866666666667,0.136,2.61666666666667,NA,NA,2009-07-16
"84",Aug 2009,"Clark Fork River above Flathead",0.005888,0.0074625,0.0034775,8.67666666666667,236,20.4333333333333,125.333333333333,0.0096475,0.13825,1.3,7.6,23.047619047619,2009-08-13
"85",Sep 2009,"Clark Fork River above Flathead",0.0119625,0.006725,0.00315,8.5,249.333333333333,20.1666666666667,132.6,0.00832666666666667,0.157,1.36,19.1,51.6190476190476,2009-09-08
"86",Jun 2010,"Clark Fork River above Flathead",0.0584,0.0425,0.0127,7.83,143.3,18.9,76.1,0.0371,0.241,12.9,NA,NA,2010-06-24
"87",Jul 2010,"Clark Fork River above Flathead",0.00903333333333333,0.00776666666666667,0.00476666666666667,8.22,193.233333333333,21.0333333333333,102.566666666667,0.0109333333333333,0.206,1.92,NA,NA,2010-07-15
"88",Aug 2010,"Clark Fork River above Flathead",0.00615,0.008,0.00355,8.41333333333333,235.666666666667,22.9,125.533333333333,0.010675,0.1665,1.39,15.6666666666667,38.3636363636364,2010-08-09
"89",Sep 2010,"Clark Fork River above Flathead",0.0094,0.00916666666666667,0.0032,8.54,243.333333333333,16.3,129.333333333333,0.0098,0.157666666666667,1.73666666666667,24,36.9095238095238,2010-09-09
"90",Jun 2011,"Clark Fork River above Flathead",0.0146,0.03015,0.0126,7.97,159.45,13.35,103.4,0.074,NA,45,NA,NA,2011-06-26
"91",Jul 2011,"Clark Fork River above Flathead",0.00983333333333333,0.0215666666666667,0.0076,8.20666666666667,144.8,16.6,94.0666666666667,0.0228,0.144,9.15333333333333,NA,NA,2011-07-21
"92",Aug 2011,"Clark Fork River above Flathead",0.0099,0.00525,0.004525,8.46333333333333,196.366666666667,18.5666666666667,127.633333333333,0.0153,0.118615,1.12666666666667,6.94444444444444,10,2011-08-10
"93",Sep 2011,"Clark Fork River above Flathead",0.00635,0.02435,0.0045,8.505,223.5,14.95,145.25,0.00805,0.149,1.29,6.66666666666667,14.952380952381,2011-09-11
"94",Jun 2012,"Clark Fork River above Flathead",0.007025,0.013875,0.007045,8.28,110.95,14.35,72.15,0.01625,0.178625,5.595,NA,NA,2012-06-24
"95",Jul 2012,"Clark Fork River above Flathead",0.0119466666666667,0.00934333333333333,0.00324,8.32666666666667,174.533333333333,19.8333333333333,113.533333333333,0.00947,0.169793333333333,1.65666666666667,NA,NA,2012-07-19
"96",Aug 2012,"Clark Fork River above Flathead",0.00766333333333333,0.010085,0.00416666666666667,8.48666666666667,207.666666666667,19.0666666666667,134.966666666667,0.0082,0.165765,0.823333333333333,16.14,16.1111111111111,2012-08-12
"97",Sep 2012,"Clark Fork River above Flathead",0.00607,0.010585,0.00175,8.55,211,15.25,137.5,0.00778,0.196455,1.235,10.6,19.4615384615385,2012-09-05
"98",Jul 2013,"Clark Fork River above Flathead",NA,0.0116066666666667,0.00388333333333333,8.45333333333333,211.666666666667,20.8,137.566666666667,0.00886666666666667,0.154586666666667,1.08333333333333,8.82352941176471,21.3571428571429,2013-07-26
"99",Aug 2013,"Clark Fork River above Flathead",0.00873,0.010405,0.00353,8.445,227,19.5,147.55,0.00904,0.15132,1.015,7.25,15.5714285714286,2013-08-28
"100",Sep 2013,"Clark Fork River above Flathead",0.01123,0.00893,0.00273,8.43,248.7,16.3,161.8,0.01248,0.1524,1.48,NA,NA,2013-09-19
"101",Jul 2014,"Clark Fork River above Flathead",0.0094,0.0112,0.0053,7.93,153.35,18.5,99.45,0.01395,0.159,3.7,NA,NA,2014-07-10
"102",Aug 2014,"Clark Fork River above Flathead",0.0134,0.00873333333333333,0.00336666666666667,8.17666666666667,237.733333333333,19.2,154.666666666667,0.00973333333333333,0.178666666666667,1.44,12.6529411764706,22.6666666666667,2014-08-17
"103",Sep 2014,"Clark Fork River above Flathead",0.0108,0.0077,0.0041,8.06,280.7,15.5,182.6,0.00805,0.1445,1.54,NA,NA,2014-09-18
"104",Jul 2015,"Clark Fork River above Flathead",0.0053,0.00765,0.0022,8.58,182.2,20.55,118.6,0.01055,0.1685,0.9,NA,NA,2015-07-12
"105",Aug 2015,"Clark Fork River above Flathead",0.0092,0.00545,NA,8.525,211.55,18.5,137.5,0.01005,0.187,1.04,20.2,36.25,2015-08-06
"106",Sep 2015,"Clark Fork River above Flathead",0.0061,0.00605,NA,8.48,240.5,14.25,156.65,0.0120333333333333,0.186666666666667,1.955,26.1428571428571,57.8571428571429,2015-09-12
"107",Jul 2016,"Clark Fork River above Flathead",0.0211,0.0096,0.0012,8.345,192.05,18.8,124.8,0.0087,0.1335,0.86,5.525,11.2,2016-07-23
"108",Aug 2016,"Clark Fork River above Flathead",0.01375,0.00655,0.00085,8.365,217,17,141.05,0.0096,0.1525,1.08,NA,NA,2016-08-18
"109",Sep 2016,"Clark Fork River above Flathead",0.0276,0.008,0.001025,8.375,234.4,14,152.45,0.0112333333333333,0.190333333333333,1.52,15.0333333333333,13.75,2016-09-10
"110",Jul 2017,"Clark Fork River above Flathead",0.0191,0.01945,0.00155,8.14,209.3,20.1,135.8,0.009,0.1365,1.08,NA,NA,2017-07-19
"111",Aug 2017,"Clark Fork River above Flathead",0.02205,0.02775,0.0016,8.305,222.75,19,144.6,0.0079,0.1825,0.9165,5.76875,10.9,2017-08-06
"112",Sep 2017,"Clark Fork River above Flathead",0.0185,0.0218,NA,8.215,250.4,14.55,162.85,0.00965,0.1825,1.435,11.7285714285714,20.4333333333333,2017-09-09
"113",Jul 2018,"Clark Fork River above Flathead",0.00963333333333333,0.0114,0.0031,8.2,208.25,19.05,135.5,0.01255,0.1335,3.155,NA,NA,2018-07-19
"114",Aug 2018,"Clark Fork River above Flathead",0.01175,0.0243333333333333,NA,8.33,239.15,17.95,155.35,0.0103666666666667,0.164333333333333,0.98,7.945,15.9210526315789,2018-08-10
"115",Sep 2018,"Clark Fork River above Flathead",0.0256,0.01905,0.001,8.215,257.4,13.75,167.4,0.00895,0.1535,1.205,13.1047619047619,29.8047619047619,2018-09-08
"116",Jul 2019,"Clark Fork River above Flathead",0.02,0.0135,0.0235,8.45,208.55,17.4,135.525,0.009,0.115,2.13,NA,NA,2019-07-10
"117",Aug 2019,"Clark Fork River above Flathead",0.025,0.0116666666666667,0.0166666666666667,8.57,247.15,20.55,160.55,0.008,0.136666666666667,2.32,9.007,16.581,2019-08-09
"118",Sep 2019,"Clark Fork River above Flathead",0.01485,0.008,0.0105,8.46,265.6,15.2,172.95,0.01,0.12,5.19,10.465,24.56,2019-09-09
"119",Jul 2020,"Clark Fork River above Flathead",NA,0.005,0.001,8.075,200.05,19.2,NA,0.009,0.09,3.375,NA,NA,2020-07-22
"120",Aug 2020,"Clark Fork River above Flathead",NA,0.008,0.003,8.24,241.35,18.7,NA,0.006,0.12,1.18,8.27571428571429,16.7533333333333,2020-08-10
"121",Sep 2020,"Clark Fork River above Flathead",0.02,0.01075,0.004,8.13,260.95,13.85,NA,0.00625,0.1,1.705,8.19761904761905,16.4980952380952,2020-09-09
"122",Jul 2021,"Clark Fork River above Flathead",0.02,0.0236666666666667,0.025,8.525,216,9.95,NA,0.0336666666666667,0.193333333333333,2.955,NA,NA,2021-07-17
"123",Aug 2021,"Clark Fork River above Flathead",0.02,0.006,NA,8.36,251.3,18.1,NA,0.008,0.13,2.25,9.53809523809524,19.4047619047619,2021-08-17
"124",Sep 2021,"Clark Fork River above Flathead",0.02,0.01,NA,8.305,269.7,13.45,NA,0.0105,0.115,2.635,19.2380952380952,50.7619047619048,2021-09-13
"125",Oct 2021,"Clark Fork River above Flathead",0.01,0.008,NA,NA,NA,NA,NA,0.011,0.11,NA,NA,NA,2021-10-08
"126",Jul 2022,"Clark Fork River above Flathead",NA,0.007,0.002,7.95,169.7,18.4,NA,0.006,0.15,3.98,NA,NA,2022-07-14
"127",Aug 2022,"Clark Fork River above Flathead",0.02,0.0165,0.0185,8.19666666666667,227.133333333333,19.7333333333333,NA,0.0293333333333333,0.17,0.96,4.04117647058824,7.71340588235294,2022-08-12
"128",Sep 2022,"Clark Fork River above Flathead",NA,0.011,0.001,8.24,255,15.05,NA,0.026,0.25,1.835,9.6747619047619,20.4809238095238,2022-09-11
"129",Jun 1998,"Clark Fork River above Little Blackfoot",NA,NA,0.011,NA,NA,NA,NA,0.05,0.3,NA,NA,NA,1998-06-10
"130",Jul 1998,"Clark Fork River above Little Blackfoot",NA,0.05,0.0325,NA,NA,NA,NA,0.0565,0.3,NA,NA,NA,1998-07-09
"131",Aug 1998,"Clark Fork River above Little Blackfoot",NA,NA,0.0236666666666667,NA,NA,NA,NA,0.05,0.533333333333333,NA,NA,NA,1998-08-15
"132",Sep 1998,"Clark Fork River above Little Blackfoot",NA,NA,0.006,8.32,484,18.9,243,0.0363333333333333,0.2,NA,NA,NA,1998-09-08
"133",Oct 1998,"Clark Fork River above Little Blackfoot",NA,0.05,0.012,8.1,430,8.5,217,0.04,0.3,NA,NA,NA,1998-10-05
"134",Nov 1998,"Clark Fork River above Little Blackfoot",NA,0.17,0.007,8.17,438,6.3,218,0.02,0.3,NA,NA,NA,1998-11-16
"135",Dec 1998,"Clark Fork River above Little Blackfoot",NA,0.37,0.009,7.92,501,4.4,257,0.03,0.2,NA,NA,NA,1998-12-14
"136",Jan 1999,"Clark Fork River above Little Blackfoot",0.01,0.42,0.024,7.59,611,0.1,303,0.04,NA,NA,NA,NA,1999-01-25
"137",Mar 1999,"Clark Fork River above Little Blackfoot",NA,0.21,0.005,8.54,444,5.9,226,0.081,0.3,NA,NA,NA,1999-03-01
"138",Apr 1999,"Clark Fork River above Little Blackfoot",NA,0.22,0.006,7.99,484,8.3,244,0.055,0.3,NA,NA,NA,1999-04-05
"139",May 1999,"Clark Fork River above Little Blackfoot",NA,0.08,0.0075,7.57,426,15.8,216,0.0955,0.4,NA,NA,NA,1999-05-13
"140",Jun 1999,"Clark Fork River above Little Blackfoot",0.02,0.12,0.021,7.25,272,19.6,138,0.099,0.4,NA,NA,NA,1999-06-14
"141",Jul 1999,"Clark Fork River above Little Blackfoot",0.01,0.16,0.0126666666666667,7.82,391,26.4,198,0.0523333333333333,0.266666666666667,NA,NA,NA,1999-07-13
"142",Aug 1999,"Clark Fork River above Little Blackfoot",0.02,0.0466666666666667,0.0276666666666667,7.71,409,22.5,204,0.065,0.366666666666667,NA,NA,NA,1999-08-17
"143",Sep 1999,"Clark Fork River above Little Blackfoot",NA,NA,0.00733333333333333,5.68,483,13.1,249,0.0386666666666667,0.333333333333333,NA,NA,NA,1999-09-18
"144",Oct 1999,"Clark Fork River above Little Blackfoot",0.15,0.12,0.004,7.59,478,9.4,240,0.044,0.3,NA,NA,NA,1999-10-18
"145",Nov 1999,"Clark Fork River above Little Blackfoot",NA,0.25,0.003,NA,515,2.6,262,0.035,0.2,NA,NA,NA,1999-11-16
"146",Dec 1999,"Clark Fork River above Little Blackfoot",0.02,0.39,0.008,6.7,495,2.9,247,0.037,NA,NA,NA,NA,1999-12-13
"147",Jan 2000,"Clark Fork River above Little Blackfoot",0.04,0.55,0.003,NA,517,3.6,258,0.043,0.2,NA,NA,NA,2000-01-24
"148",Feb 2000,"Clark Fork River above Little Blackfoot",0.03,0.33,0.006,7.66,525,3.3,259,0.08,0.4,NA,NA,NA,2000-02-29
"149",Mar 2000,"Clark Fork River above Little Blackfoot",0.03,0.24,0.01,8.32,457,6.3,229,0.031,0.2,NA,NA,NA,2000-03-27
"150",May 2000,"Clark Fork River above Little Blackfoot",0.02,0.01,0.0125,7.935,452,15.35,227.5,0.0335,0.3,3.39,NA,NA,2000-05-16
"151",Jun 2000,"Clark Fork River above Little Blackfoot",0.01,NA,0.016,8.62,440,17.9,220,0.061,0.4,6.04,NA,NA,2000-06-11
"152",Jul 2000,"Clark Fork River above Little Blackfoot",0.0333333333333333,0.0065,0.0233333333333333,7.44,543,14.3,271,0.064,0.3,3.21,NA,NA,2000-07-17
"153",Aug 2000,"Clark Fork River above Little Blackfoot",0.02,NA,0.017,8.16,587,15,293,0.084,0.4,NA,NA,NA,2000-08-17
"154",Sep 2000,"Clark Fork River above Little Blackfoot",0.045,0.045,0.00966666666666667,8.89,633,17.4,315,0.103666666666667,0.633333333333333,8.54,NA,NA,2000-09-12
"155",Oct 2000,"Clark Fork River above Little Blackfoot",0.045,0.13,0.0085,8.72,593,12.5,296,0.0685,0.5,9.53,NA,NA,2000-10-15
"156",Nov 2000,"Clark Fork River above Little Blackfoot",0.015,0.285,0.007,8.24,503,3.5,251,0.0385,0.3,8.87,NA,NA,2000-11-15
"157",Dec 2000,"Clark Fork River above Little Blackfoot",0.045,0.45,0.01,8.12,576,4.4,289,0.0265,0.2,2.8,NA,NA,2000-12-16
"158",Jan 2001,"Clark Fork River above Little Blackfoot",0.065,0.5105,0.015,8.17,530,3.3,266,0.0385,0.4,5.72,NA,NA,2001-01-25
"159",Feb 2001,"Clark Fork River above Little Blackfoot",0.09,0.562333333333333,0.0176666666666667,8.03,615,0.7,307,0.04,0.233333333333333,NA,NA,NA,2001-02-20
"160",Mar 2001,"Clark Fork River above Little Blackfoot",0.04,NA,0.017,NA,NA,NA,NA,0.08,0.6,NA,NA,NA,2001-03-29
"161",Apr 2001,"Clark Fork River above Little Blackfoot",0.02,0.127,0.00566666666666667,8.635,544.5,8.9,NA,0.0496666666666667,0.4,6.825,NA,NA,2001-04-15
"162",May 2001,"Clark Fork River above Little Blackfoot",NA,NA,0.011,7.19,442,12.4,221,0.0415,0.3,NA,NA,NA,2001-05-24
"163",Jun 2001,"Clark Fork River above Little Blackfoot",NA,NA,0.05,8.51,475,16.8,238,0.0895,0.35,NA,NA,NA,2001-06-20
"164",Jul 2001,"Clark Fork River above Little Blackfoot",0.0133333333333333,NA,0.0462,8.92,500,18.2,250,0.0768,0.42,NA,NA,NA,2001-07-16
"165",Aug 2001,"Clark Fork River above Little Blackfoot",0.025,NA,0.013,8.57,463,20.5,232,0.0256666666666667,0.2,1.96,NA,NA,2001-08-18
"166",Sep 2001,"Clark Fork River above Little Blackfoot",0.0166666666666667,0.009,0.01025,8.79,475,16.6,238,0.03675,0.25,3.03,NA,NA,2001-09-18
"167",Oct 2001,"Clark Fork River above Little Blackfoot",0.01,0.0525,0.003,8.25,520,7.3,264,0.0235,0.4,4.7,NA,NA,2001-10-21
"168",Nov 2001,"Clark Fork River above Little Blackfoot",0.015,0.1325,0.005,8.47,535,7,267,0.038,0.25,6.44,NA,NA,2001-11-15
"169",Dec 2001,"Clark Fork River above Little Blackfoot",0.05,0.405,0.013,8.02,547,0.9,274,0.042,0.4,5.04,NA,NA,2001-12-18
"170",Jan 2002,"Clark Fork River above Little Blackfoot",0.05,0.42,0.013,8.48,552,0.2,276,0.04,0.3,5.04,NA,NA,2002-01-28
"171",Mar 2002,"Clark Fork River above Little Blackfoot",0.02,0.365,0.01,8.31,559,0.9,280,0.055,0.4,9.11,NA,NA,2002-03-04
"172",Apr 2002,"Clark Fork River above Little Blackfoot",0.02,0.091,0.00566666666666667,8.33,533,7.1,268,0.0433333333333333,0.466666666666667,11.295,NA,NA,2002-04-17
