,Group.1,Group.2,ActivityStartDate,Manganese,MonitoringLocationName,Zinc,Orthophosphate,Phosphate.phosphorus...retired...use.Total.Phosphorus..mixed.forms,Kjeldahl.nitrogen,Ammonia.nitrogen,Oxidation.reduction.potential..ORP.,Dissolved.oxygen..DO.,Flow,Specific.conductance,Copper,Total.dissolved.solids,Inorganic.nitrogen..nitrate.and.nitrite.....retired...use.Nitrate...Nitrite,Temperature..water,pH,Turbidity,Dissolved.oxygen.saturation,date_yearmon
875,Jun-03,Clark Fork River at Huson,6/15/2003,NA,NA,NA,0.011666667,0.040333333,0.233333333,0.02,-20.7,7.845,NA,133.7,NA,71,0.044333333,16.15,7.695,10.185,96.45,NA
876,Jul-03,Clark Fork River at Huson,7/15/2003,NA,NA,NA,0.006,0.0235,0.3,0.025,-48.85,7.085,NA,214.7,NA,112.9,0.0665,20.55,7.88,1.93,88.65,NA
877,Aug-03,Clark Fork River at Huson,8/12/2003,NA,NA,NA,0.005,0.023,0.166666667,0.01,-63.5,7.6,NA,249.6666667,NA,133.1,0.049,19.66666667,8.046666667,1.84,93.66666667,NA
878,Sep-03,Clark Fork River at Huson,9/16/2003,NA,NA,NA,0.005333333,0.021666667,0.3,NA,-69.93333333,8.5,NA,280.3333333,NA,149.3666667,0.024333333,14.96666667,8.24,2.773333333,93,NA
879,May-04,Clark Fork River at Huson,5/18/2004,NA,NA,NA,0.01,0.03,0.2,0.02,-50.1,8.6,NA,163.1,NA,NA,0.04,11.9,7.88,3.84,88,NA
880,Jun-04,Clark Fork River at Huson,6/15/2004,NA,NA,NA,0.004,0.021333333,0.1,0.02,-58.3,9.076666667,NA,134.7666667,NA,NA,0.0285,15.66666667,8.076666667,4.483333333,100,NA
881,Jul-04,Clark Fork River at Huson,7/22/2004,NA,NA,NA,0.0075,0.025,0.2,0.015,-62.55,7.45,NA,224.5,NA,NA,0.0535,20.1,8.125,2.91,92.5,NA
882,Aug-04,Clark Fork River at Huson,8/20/2004,NA,NA,NA,0.008333333,0.025,0.233333333,0.01,-71.4,8.6,NA,240.5,NA,NA,0.036333333,17.5,8.295,3.47,97.5,NA
883,Sep-04,Clark Fork River at Huson,9/16/2004,NA,NA,NA,0.0075,0.021,0.15,NA,-67.6,8.5,NA,224.5,NA,NA,0.029,13.85,8.185,1.955,90.5,NA
884,Jan-05,Clark Fork River at Huson,1/19/2005,NA,NA,0.007,0.01,0.028,0.2,0.01,NA,11.6,NA,276,0.002,NA,0.22,1.7,7.67,5.2,89,NA
885,Feb-05,Clark Fork River at Huson,2/16/2005,NA,NA,0.0024,0.005,0.014,0.1,NA,NA,10.8,NA,340,0.003,NA,0.097,1,7.4,1.7,98,NA
886,Mar-05,Clark Fork River at Huson,3/16/2005,NA,NA,0.0025,0.008,0.026,0.2,NA,NA,8,NA,346,0.002,NA,0.065,7.8,7.6,4.3,89,NA
887,Apr-05,Clark Fork River at Huson,4/14/2005,NA,NA,0.0043,0.008,0.015,0.2,NA,NA,8.9,NA,210,0.002,NA,0.047,7.5,8,8.3,93,NA
888,May-05,Clark Fork River at Huson,5/17/2005,NA,NA,0.02655,0.0135,0.0835,0.5,0.01,NA,8.6,NA,125,0.0145,NA,0.059,11,7.72,36.9,80,NA
889,Jun-05,Clark Fork River at Huson,6/16/2005,NA,NA,0.0088,0.011,0.037,0.2,0.01,NA,8.8,NA,274,0.008,NA,0.026,15.25,8.46,9.85,93,NA
890,Jul-05,Clark Fork River at Huson,7/14/2005,NA,NA,0.0034,0.0035,0.0165,0.1,NA,NA,8.2,NA,232.5,0.004,NA,0.009,18.05,8.2,2.9,93,NA
891,Aug-05,Clark Fork River at Huson,8/11/2005,NA,NA,0.0073,0.0365,0.018,0.15,NA,NA,6.05,NA,238.5,0.005,NA,0.0435,18.6,8.71,1.75,71,NA
892,Sep-05,Clark Fork River at Huson,9/14/2005,NA,NA,0.00265,0.009,0.0145,0.125,0.02,NA,8.6,NA,291.6666667,0.002,NA,0.121,14.63333333,8.37,2.166666667,93.5,NA
893,Oct-05,Clark Fork River at Huson,10/19/2005,NA,NA,0.0065,0.008,0.029,0.3,0.02,NA,NA,NA,310,0.004,NA,0.072,10.4,8.23,NA,NA,NA
894,Nov-05,Clark Fork River at Huson,11/16/2005,NA,NA,0.0026,0.009,0.024,0.1,NA,NA,NA,NA,234,0.002,NA,0.081,4.3,NA,NA,NA,NA
895,Dec-05,Clark Fork River at Huson,12/13/2005,NA,NA,0.0065,0.007,0.018,0.2,NA,NA,NA,NA,297,0.003,NA,0.191,1.5,NA,NA,NA,NA
896,May-06,Clark Fork River at Huson,5/31/2006,NA,NA,NA,0.01,0.047,0.3,0.02,NA,7.8,NA,137.9,NA,NA,0.062,14.7,7.81,11.9,NA,NA
897,Jun-06,Clark Fork River at Huson,6/22/2006,NA,NA,NA,0.0085,0.0315,0.2,0.03,NA,8.55,NA,137.55,NA,NA,0.02,17.85,8.04,7.6,NA,NA
898,Jul-06,Clark Fork River at Huson,7/12/2006,NA,NA,NA,0.0045,0.019,0.2,0.02,NA,8,NA,218,NA,NA,0.0455,21.9,8.145,3.885,NA,NA
899,Aug-06,Clark Fork River at Huson,8/16/2006,NA,NA,NA,0.0055,0.018,0.233333333,0.02,NA,8.433333333,NA,255,NA,NA,0.039,17.7,8.28,2.11,NA,NA
900,Sep-06,Clark Fork River at Huson,9/21/2006,NA,NA,NA,0.0045,0.0145,0.2,NA,NA,9.35,NA,283.5,NA,NA,0.035,15.05,8.5,3.455,NA,NA
901,Jun-07,Clark Fork River at Huson,6/16/2007,NA,NA,NA,0.01,0.040333333,0.233333333,0.02,NA,NA,NA,NA,NA,NA,0.027666667,NA,NA,NA,NA,NA
902,Jul-07,Clark Fork River at Huson,7/19/2007,NA,NA,NA,0.006,0.0145,0.2,NA,NA,NA,NA,NA,NA,NA,0.051,NA,NA,NA,NA,NA
903,Aug-07,Clark Fork River at Huson,8/16/2007,NA,NA,NA,0.0035,0.01475,0.275,0.02,NA,NA,NA,NA,NA,NA,0.0275,NA,NA,NA,NA,NA
904,Sep-07,Clark Fork River at Huson,9/13/2007,NA,NA,NA,0.005,0.0155,0.2,0.01,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA
905,Jun-08,Clark Fork River at Huson,6/19/2008,NA,NA,NA,NA,0.0485,0.25,0.01,-32.05,9.365,NA,134.05,NA,71.1,0.0345,14.3,8.06,17,90.7,NA
906,Jul-08,Clark Fork River at Huson,7/16/2008,NA,NA,NA,NA,0.019666667,0.2,0.015,-55.56666667,8.436666667,NA,177.4666667,NA,117.8333333,0.016333333,19.86666667,8.483333333,5.72,90.56666667,NA
907,Aug-08,Clark Fork River at Huson,8/11/2008,NA,NA,NA,NA,0.01525,0.2,0.015,-57.9,8.733333333,NA,243.3333333,NA,129,0.0785,17.7,8.493333333,2.423333333,91.46666667,NA
908,Sep-08,Clark Fork River at Huson,9/7/2008,NA,NA,NA,NA,0.015,0.2,NA,-68.9,9.21,NA,259,NA,137.65,0.0305,13.95,8.73,2.205,90.3,NA
909,Jun-09,Clark Fork River at Huson,6/25/2009,NA,NA,NA,10.49,26.25,NA,NA,-32.5,8.36,NA,154.1,NA,81.7,26.83,18.1,8.04,6.99,NA,NA
910,Jul-09,Clark Fork River at Huson,7/16/2009,NA,NA,NA,6.083333333,19.65,NA,7.39,-52.43333333,8.173333333,NA,202.5666667,NA,107.6666667,20.2,19.76666667,8.276666667,3.64,NA,NA
911,Aug-09,Clark Fork River at Huson,8/8/2009,NA,NA,NA,5.17,16.75333333,NA,10.92666667,-62.36666667,8.176666667,NA,257,NA,136.6333333,48.61333333,19.36666667,8.473333333,3.116666667,NA,NA
912,Sep-09,Clark Fork River at Huson,9/6/2009,NA,NA,NA,2.97,13.0675,NA,10.73,-67.6,8.563333333,NA,266.3333333,NA,141.5666667,15.222,18.9,8.393333333,2.296666667,NA,NA
913,Jun-10,Clark Fork River at Huson,6/24/2010,NA,NA,NA,14.9,38.6,NA,9.2,-13,8.36,NA,153.4,NA,81.4,35.2,18.9,7.47,12.2,NA,NA
914,Jul-10,Clark Fork River at Huson,7/15/2010,NA,NA,NA,5.166666667,15.73333333,NA,10.26666667,-49.93333333,8.366666667,NA,206.9666667,NA,109.9333333,5.266666667,20.46666667,8.026666667,2.34,NA,NA
915,Aug-10,Clark Fork River at Huson,8/6/2010,NA,NA,NA,4.266666667,20.46666667,NA,9.933333333,-57.56666667,8.323333333,NA,263,NA,139.8,43.96666667,21.73333333,8.18,3.526666667,NA,NA
916,Sep-10,Clark Fork River at Huson,9/8/2010,NA,NA,NA,3.025,14.425,NA,NA,-68.73333333,9.136666667,NA,268,NA,143.0333333,27.25,14.63333333,8.38,3.753333333,NA,NA
917,Jun-11,Clark Fork River at Huson,6/26/2011,NA,NA,NA,13.95,73.1,NA,17.7,168.05,9.035,NA,152.3,NA,98.75,19.1,13.3,7.815,37,NA,NA
918,Jul-11,Clark Fork River at Huson,7/21/2011,NA,NA,NA,9.733333333,29.3,NA,8.85,236.3666667,8.683333333,NA,148.6333333,NA,96.63333333,23.26666667,15.93333333,8.07,7.533333333,NA,NA
919,Aug-11,Clark Fork River at Huson,8/11/2011,NA,NA,NA,7.075,21.825,NA,12.725,218.7,8.956666667,NA,219.2666667,NA,142.5666667,46.575,17.86666667,8.323333333,2.17,NA,NA
920,Sep-11,Clark Fork River at Huson,9/9/2011,NA,NA,NA,4.95,14.25,NA,11.05,241.65,9.485,NA,241.1,NA,156.65,36,14.05,8.4,1.85,NA,NA
921,Jun-12,Clark Fork River at Huson,6/24/2012,NA,NA,NA,7.645,21.85,NA,9.215,131.55,9.47,NA,119.65,NA,78,18.475,14.4,8.04,4.585,NA,NA
922,Jul-12,Clark Fork River at Huson,7/19/2012,NA,NA,NA,3.523333333,19.78,NA,11.76333333,103.6,8.183333333,NA,185.8666667,NA,120.9,23.71,19.66666667,8.243333333,1.906666667,NA,NA
923,Aug-12,Clark Fork River at Huson,8/10/2012,NA,NA,NA,3.2625,15.3475,NA,9.47,129.4333333,8.77,NA,229.3666667,NA,149.0666667,33.655,18,8.376666667,2.163333333,NA,NA
924,Sep-12,Clark Fork River at Huson,9/4/2012,NA,NA,NA,1.69,14.515,NA,NA,138.05,9.695,NA,230.1,NA,149.55,44.07,14.7,8.42,2.235,NA,NA
925,Jul-13,Clark Fork River at Huson,7/27/2013,NA,NA,NA,3.8325,15.36,NA,12.97333333,-431.3,8.696666667,NA,242.2333333,NA,157.5666667,45.42,19.83333333,8.34,2.766666667,NA,NA
926,Aug-13,Clark Fork River at Huson,8/29/2013,NA,NA,NA,3.495,17.855,NA,9.95,-441.75,8.585,NA,247.7,NA,160.9,39.79,17.4,8.365,3.835,NA,NA
927,Sep-13,Clark Fork River at Huson,9/19/2013,NA,NA,NA,3.71,15.71,NA,8.38,-431.4,9.63,NA,279.7,NA,182,23.65,14.1,8.36,2.83,NA,NA
928,Jul-14,Clark Fork River at Huson,7/10/2014,NA,NA,NA,7.4,17.4,NA,NA,-115.6,8.89,NA,157.4,NA,102.4,17.1,17.95,7.805,3.695,NA,NA
929,Aug-14,Clark Fork River at Huson,8/16/2014,NA,NA,NA,4.2,15.2,NA,10.9,209.1666667,9.203333333,NA,255.9,NA,166.4,21.4,19.23333333,8.083333333,1.646666667,NA,NA
930,Sep-14,Clark Fork River at Huson,9/18/2014,NA,NA,NA,4.1,14.8,NA,12.3,268.2,8.13,NA,306.7,NA,199.6,45,14.3,8.08,2,NA,NA
931,Jul-15,Clark Fork River at Huson,7/9/2015,NA,NA,NA,1.95,15.1,NA,6.55,117,7.67,NA,198.25,NA,129,30.5,19.85,8.29,1.645,81.6,NA
932,Aug-15,Clark Fork River at Huson,8/5/2015,NA,NA,NA,1.7,17.8,NA,11.55,118.65,9.35,NA,231.6,NA,150.5,18.2,19.2,8.51,2.045,101.85,NA
933,Sep-15,Clark Fork River at Huson,9/9/2015,NA,NA,NA,1.8,17.55,NA,20.8,118.5,10.21,NA,261.3,NA,169.95,29.45,13.85,8.52,2.905,98.9,NA
934,Jul-16,Clark Fork River at Huson,7/24/2016,NA,NA,NA,2.15,9.933333333,NA,15.53333333,154.7,9.35,NA,209.4,NA,136.15,28.33333333,19.65,8.355,1.37,102.75,NA
935,Aug-16,Clark Fork River at Huson,8/19/2016,NA,NA,NA,1.35,19.66666667,NA,18.825,178.55,7.725,NA,237.9,NA,154.7,43.23333333,15.15,8.225,4.615,76.85,NA
936,Sep-16,Clark Fork River at Huson,9/6/2016,NA,NA,NA,1.2,13.2,NA,17.35,145.7,8.41,NA,254.15,NA,165.1,63.55,14.45,8.305,2.695,85.7,NA
937,Jul-17,Clark Fork River at Huson,7/21/2017,NA,NA,NA,2.1,NA,NA,NA,208.45,8.32,NA,220.95,NA,143.3,NA,19.45,7.99,2.405,90.55,NA
938,Aug-17,Clark Fork River at Huson,8/5/2017,NA,NA,NA,1.7,NA,NA,NA,201.05,8.925,NA,242.9,NA,157.95,NA,19.4,8.2,1.7025,97.05,NA
939,Sep-17,Clark Fork River at Huson,9/5/2017,NA,NA,NA,1.3,NA,NA,NA,217.4,9.97,NA,275.3,NA,178.75,NA,15.05,8.145,2.1265,99.25,NA
940,Jul-18,Clark Fork River at Huson,7/16/2018,NA,NA,NA,3.45,NA,NA,NA,50.6,5.965,NA,218.4,NA,142,NA,18.35,7.97,4.1,63.65,NA
941,Aug-18,Clark Fork River at Huson,8/6/2018,NA,NA,NA,1.8,NA,NA,NA,14.55,9.05,NA,255.6,NA,166.1,NA,17.3,8.165,2.145,94.55,NA
942,Sep-18,Clark Fork River at Huson,9/8/2018,NA,NA,NA,1.7,NA,NA,NA,40.15,9.265,NA,277,NA,180.1,NA,14.35,8.24,1.92,91.1,NA
943,Jul-19,Clark Fork River at Huson,7/11/2019,NA,NA,NA,0.014333333,NA,NA,NA,NA,8.29,NA,223,NA,145.275,NA,17.35,8.36,3.095,85.95,NA
944,Aug-19,Clark Fork River at Huson,8/6/2019,NA,NA,NA,0.0155,NA,NA,NA,NA,9.745,NA,274.9,NA,178.75,NA,20.4,8.485,1.71,107.35,NA
945,Sep-19,Clark Fork River at Huson,9/7/2019,NA,NA,NA,0.013333333,NA,NA,NA,NA,9.575,NA,287.45,NA,186.875,NA,14.35,8.355,4.985,93.1,NA
946,Jul-20,Clark Fork River at Huson,7/22/2020,NA,NA,NA,0.004,NA,NA,NA,NA,9.325,NA,209.45,NA,NA,NA,19.25,8.25,5.325,NA,NA
947,Aug-20,Clark Fork River at Huson,8/6/2020,NA,NA,NA,0.004,NA,NA,NA,NA,8.7,NA,266.35,NA,NA,NA,18.6,8.075,1.995,NA,NA
948,Sep-20,Clark Fork River at Huson,9/7/2020,NA,NA,NA,0.005333333,NA,NA,NA,NA,10.965,NA,290.8,NA,NA,NA,14.7,8.135,2.825,NA,NA
949,Jul-21,Clark Fork River at Huson,7/17/2021,NA,NA,NA,0.00145,NA,NA,NA,NA,7.71,NA,243.3,NA,NA,NA,19.7,8.28,1.925,NA,NA
950,Aug-21,Clark Fork River at Huson,8/9/2021,NA,NA,NA,NA,NA,NA,NA,NA,8.325,NA,274.95,NA,NA,NA,17.2,8.08,3.945,NA,NA
951,Sep-21,Clark Fork River at Huson,9/7/2021,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,300.7,NA,NA,NA,12.25,7.895,2.11,NA,NA
952,Oct-21,Clark Fork River at Huson,10/8/2021,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
953,Jul-22,Clark Fork River at Huson,7/15/2022,NA,NA,NA,0.002,NA,NA,NA,NA,7.99,NA,178.1,NA,NA,NA,19.2,7.91,4.75,NA,NA
954,Aug-22,Clark Fork River at Huson,8/6/2022,NA,NA,NA,0.0015,NA,NA,NA,NA,65.27333333,NA,251.1666667,NA,NA,NA,18.7,7.936666667,3.803333333,NA,NA
955,Sep-22,Clark Fork River at Huson,9/8/2022,NA,NA,NA,0.0014,NA,NA,NA,NA,12.57,NA,279.9,NA,NA,NA,15.65,8.24,2.265,NA,NA
956,Jun-98,Clark Fork River at Noxon,6/8/1998,NA,NA,NA,0.003,0.009,NA,NA,NA,NA,39600,210,NA,110,0.03,14,8.01,NA,NA,NA
957,Jul-98,Clark Fork River at Noxon,7/8/1998,NA,NA,NA,0.033,0.007,NA,0.06,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA
958,Aug-98,Clark Fork River at Noxon,8/11/1998,NA,NA,NA,NA,0.017,NA,NA,-48,NA,17400,167,NA,84,0.09,23.9,7.74,NA,NA,NA
959,Sep-98,Clark Fork River at Noxon,9/10/1998,NA,NA,NA,0.004,0.007,NA,NA,-60,11,13800,189,NA,94,NA,21.2,7.97,NA,NA,NA
960,Oct-98,Clark Fork River at Noxon,10/7/1998,NA,NA,0.001,0.013,0.011,0.1,NA,-30,8.8,13500,185,NA,93,0.03,17.5,7.36,NA,NA,NA
961,Nov-98,Clark Fork River at Noxon,11/18/1998,NA,NA,NA,NA,0.006,0.2,NA,-47,9.4,9580,186,NA,93,0.04,7.7,7.82,NA,NA,NA
962,Dec-98,Clark Fork River at Noxon,12/16/1998,NA,NA,NA,NA,0.006,NA,0.04,-37,10.7,13000,193,NA,85,0.11,4.9,7.65,NA,NA,NA
963,Jan-99,Clark Fork River at Noxon,1/27/1999,NA,NA,NA,NA,0.007,NA,NA,-83,10.1,15200,231,NA,116,0.095,2.3,8.98,NA,NA,NA
964,Mar-99,Clark Fork River at Noxon,3/3/1999,NA,NA,0.0124,NA,0.009,NA,0.02,-44,8,10300,202,NA,105,0.09,4,8,NA,NA,NA
965,Apr-99,Clark Fork River at Noxon,4/7/1999,NA,NA,NA,0.004,0.013,0.2,NA,-45,9.7,18700,181,0.002,90,0.1,10,7.85,NA,NA,NA
966,May-99,Clark Fork River at Noxon,5/15/1999,NA,NA,0.0025,0.02,0.01,0.15,NA,-49,11.4,38950,154.5,0.0015,76.5,0.035,11.9,8.03,NA,NA,NA
967,Jun-99,Clark Fork River at Noxon,6/16/1999,NA,NA,0.0011,NA,0.016,0.2,NA,-7,11.4,52600,166,0.002,84,0.03,15.9,7.26,NA,NA,NA
968,Jul-99,Clark Fork River at Noxon,7/14/1999,NA,NA,NA,NA,0.015,0.1,NA,-5,NA,27700,173,0.002,86,0.04,18.6,7.45,NA,NA,NA
969,Aug-99,Clark Fork River at Noxon,8/19/1999,NA,NA,9.00E-04,0.003,0.014,0.1,0.03,18,7,18200,NA,0.001,NA,0.02,24,6.79,NA,74,NA
970,Sep-99,Clark Fork River at Noxon,9/22/1999,NA,NA,5.00E-04,0.002,0.009,0.2,0.02,-8,NA,11100,194,0.004,97,0.02,18.6,7.18,NA,NA,NA
971,Oct-99,Clark Fork River at Noxon,10/20/1999,NA,NA,NA,0.002,0.007,0.2,0.08,-17,NA,7740,190,0.002,94,0.02,13.5,7.3,NA,NA,NA
972,Nov-99,Clark Fork River at Noxon,11/17/1999,NA,NA,7.00E-04,0.004,0.0085,NA,0.02,-28,10.5,20900,183,0.003,94,0.025,7.9,7.49,NA,98,NA
973,Dec-99,Clark Fork River at Noxon,12/15/1999,NA,NA,NA,NA,0.004,0.3,0.01,49,NA,21400,187,0.002,93,0.06,3.9,6.13,NA,NA,NA
974,Jan-00,Clark Fork River at Noxon,1/26/2000,NA,NA,8.00E-04,0.002,0.0035,0.2,0.03,-38,12.8,14500,199,0.0035,100,0.07,4.2,7.79,NA,113,NA
975,Mar-00,Clark Fork River at Noxon,3/14/2000,NA,NA,NA,NA,0.005,NA,0.02,-70.5,10.85,14850,180,0.0045,90,0.045,5.35,8.325,NA,95.5,NA
976,May-00,Clark Fork River at Noxon,5/13/2000,NA,NA,0.00205,0.001,0.009,NA,0.045,-41.5,10,39900,153.5,0.001,77,0.04,13.5,7.795,6.9,102.5,NA
977,Jun-00,Clark Fork River at Noxon,6/12/2000,NA,NA,0.001,0.002,0.005,0.1,0.02,-54,NA,30800,141,NA,79,0.02,16.4,8,4.52,NA,NA
978,Jul-00,Clark Fork River at Noxon,7/18/2000,NA,NA,NA,0.001,0.006,0.1,0.13,-73,8.1,20200,170,NA,85,NA,21.5,8.44,1.94,100,NA
979,Aug-00,Clark Fork River at Noxon,8/15/2000,NA,NA,0.0014,0.006,0.012,0.2,0.05,-63,7.1,11100,185,NA,92,0.04,23.1,8.18,NA,91,NA
980,Sep-00,Clark Fork River at Noxon,9/13/2000,NA,NA,0.0042,0.006,0.012,NA,0.49,-69,8.5,8730,197,NA,98,0.03,19.6,8.45,1.4,101,NA
981,Oct-00,Clark Fork River at Noxon,10/17/2000,NA,NA,8.00E-04,0.002,0.008,0.2,0.02,-68,9.4,9250,201,NA,100,0.03,15.8,8.31,1.28,106,NA
982,Nov-00,Clark Fork River at Noxon,11/21/2000,NA,NA,0.0027,0.001,0.006,0.1,0.03,-49,10,14000,252,NA,126,0.02,7.4,7.92,0.85,91,NA
983,Dec-00,Clark Fork River at Noxon,12/21/2000,NA,NA,NA,NA,0.004,NA,NA,-64,9.3,12900,181,NA,91,0.03,5.9,8.25,NA,78,NA
984,Jan-01,Clark Fork River at Noxon,1/31/2001,NA,NA,0.0029,0.002,0.002,NA,NA,-90,10.8,9880,116,NA,59,0.06,4.1,8.69,1.84,85,NA
985,Mar-01,Clark Fork River at Noxon,3/1/2001,NA,NA,NA,0.001,0.004,0.1,0.02,-68,NA,8410,213,NA,NA,0.05,4.3,8.27,NA,NA,NA
986,Apr-01,Clark Fork River at Noxon,4/13/2001,0.006,NA,NA,0.0015,0.008,0.2,0.025,-75,12.3,6485,213.5,NA,NA,0.047,8.55,8.41,2.44,112.5,NA
987,May-01,Clark Fork River at Noxon,5/23/2001,0.01,NA,0.002,0.002,0.013,0.2,0.01,-59,7.75,24200,141,0.001,70,0.037,13.7,8.11,NA,81,NA
988,Jun-01,Clark Fork River at Noxon,6/11/2001,NA,NA,0.010283333,0.002,0.01,0.15,0.02,-46,7.42,24820,159,0.001,80,0.0255,14.9,7.76,NA,77,NA
989,Jul-01,Clark Fork River at Noxon,7/22/2001,NA,NA,NA,0.006,0.01,0.1,0.04,35.7,NA,8970,178,NA,89,0.022,20.5,7.7,NA,NA,NA
990,Aug-01,Clark Fork River at Noxon,8/22/2001,NA,NA,NA,0.0065,0.012,0.1,0.02,41,6.1,6530,190,NA,95,0.06,20.1,7.92,0.7,69,NA
991,Sep-01,Clark Fork River at Noxon,9/26/2001,NA,NA,NA,0.004,0.011,0.1,NA,74,7.5,5260,190,NA,95,0.029,18.6,8.15,1.07,79,NA
992,Oct-01,Clark Fork River at Noxon,10/25/2001,NA,NA,0.0191,0.002,0.007,0.2,0.055,105,9.65,5530,205,0.001,102,0.0595,12.6,9.27,1.5,91,NA
993,Nov-01,Clark Fork River at Noxon,11/20/2001,NA,NA,0.0096,0.002,0.0065,NA,0.03,73.9,11.5,5860,201,0.001,103,0.0345,9.2,8.33,0.9,103,NA
994,Dec-01,Clark Fork River at Noxon,12/20/2001,NA,NA,0.0078,0.003,0.003,0.1,0.025,53.6,10.95,11000,203,0.001,103,0.0295,5.4,8.01,0.65,82,NA
995,Jan-02,Clark Fork River at Noxon,1/30/2002,NA,NA,NA,NA,0.003,NA,0.03,-109.9,10.55,10800,405,0.001,202,0.0535,2.4,9.33,1.18,77,NA
996,Mar-02,Clark Fork River at Noxon,3/6/2002,NA,NA,NA,NA,0.003,NA,0.02,-78.5,11.06,11560,182,NA,91,0.032,3.6,8.41,2.37,84,NA
997,Apr-02,Clark Fork River at Noxon,4/9/2002,NA,NA,NA,0.001333333,0.008,0.1,0.0175,-70.8,11.54,13500,178.5,0.002333333,94,0.0255,7.6,8.17,1.855,96,NA
998,May-02,Clark Fork River at Noxon,5/15/2002,NA,NA,6.00E-04,0.0045,0.012,NA,0.025,-65.05,9.95,25200,135.5,0.001,68,0.051,10.85,7.8,12.05,90.5,NA
999,Jun-02,Clark Fork River at Noxon,6/19/2002,NA,NA,NA,0.004,0.014,NA,0.025,-51.7,9.25,72000,144,0.001,72,0.04,13.9,7.73,9.59,89,NA
1000,Jul-02,Clark Fork River at Noxon,7/24/2002,NA,NA,NA,0.003,0.003,NA,0.03,-52.7,NA,21900,165,0.001,82,0.01,23.3,7.89,5.73,NA,NA
1001,Aug-02,Clark Fork River at Noxon,8/21/2002,NA,NA,NA,0.002,0.003,0.1,0.02,-75.5,6.66,11400,179,NA,89,0.02,20,8.64,1.99,74,NA
1002,Sep-02,Clark Fork River at Noxon,9/25/2002,NA,NA,NA,0.004,0.007,NA,NA,-70.8,NA,8320,188,NA,94,0.02,18.2,8,1.08,NA,NA
1003,Apr-03,Clark Fork River at Noxon,4/20/2003,NA,NA,0.001,0.003,0.013,0.1,0.04,-17,NA,NA,167,NA,84,0.043,11.1,7.26,2.9,NA,NA
1004,May-03,Clark Fork River at Noxon,5/14/2003,NA,NA,7.00E-04,NA,0.01,0.2,0.05,-32.4,NA,NA,160.1,0.001,80.1,0.035,11.2,7.6,3.89,NA,NA
1005,Jun-03,Clark Fork River at Noxon,6/18/2003,NA,NA,0.0011,0.004,0.014,0.2,0.025,-26.1,9.4,NA,152,0.0015,76,0.0285,19,7.38,5.21,106,NA
1006,Jul-03,Clark Fork River at Noxon,7/16/2003,NA,NA,9.00E-04,0.003,0.008,NA,0.03,-18.4,8.4,NA,286,0.001,144,0.012,20.6,7.21,1.05,93,NA
1007,Aug-03,Clark Fork River at Noxon,8/10/2003,NA,NA,0.00055,0.008,0.02,0.1,0.04,-58.2,NA,NA,184,NA,92,0.066,23,8.03,1.5,NA,NA
1008,Sep-03,Clark Fork River at Noxon,9/21/2003,NA,NA,0.001,0.007,0.008,0.2,0.02,-44.7,8.7,NA,202,NA,102,0.048,16.8,7.79,NA,89,NA
1009,Oct-03,Clark Fork River at Noxon,10/15/2003,NA,NA,0.087533333,NA,0.007,0.2,0.06,-71.2,NA,NA,206,NA,103,0.024,14.8,8.29,1.9,NA,NA
1010,Nov-03,Clark Fork River at Noxon,11/13/2003,NA,NA,0.0057,NA,0.006,0.3,NA,-70.4,11.6,NA,211,NA,106,0.01,7.5,9.3,2,96,NA
1011,Dec-03,Clark Fork River at Noxon,12/18/2003,NA,NA,NA,NA,0.005,0.1,NA,-82.7,10.4,NA,201,NA,101,0.033,2.7,8.55,1.6,74,NA
1012,Jan-04,Clark Fork River at Noxon,1/19/2004,NA,NA,5.00E-04,NA,NA,0.1,NA,-82,10,NA,205,NA,NA,0.0565,2.2,8.45,1.9,74,NA
1013,Feb-04,Clark Fork River at Noxon,2/18/2004,NA,NA,0.04315,0.002,0.005,0.1,NA,-66.7,11.6,NA,206,NA,NA,0.067,4.4,8.29,2.7,86,NA
1014,Mar-04,Clark Fork River at Noxon,3/17/2004,NA,NA,0.035525,NA,0.006,0.1,NA,-59.7,10.4,NA,200,0.001,NA,0.021,5.9,8.15,1.5,98.6,NA
1015,Apr-04,Clark Fork River at Noxon,4/14/2004,NA,NA,NA,NA,0.0115,0.1,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA
1016,May-04,Clark Fork River at Noxon,5/12/2004,NA,NA,0.0317,NA,0.015,0.1,0.01,-35.6,NA,NA,138,0.003,NA,0.026,12.9,7.55,3,NA,NA
1017,Jun-04,Clark Fork River at Noxon,6/14/2004,NA,NA,0.008533333,0.0025,0.0125,NA,NA,-46.7,9.5,NA,156,NA,NA,0.03,14.6,7.86,3.4,93,NA
1018,Jul-04,Clark Fork River at Noxon,7/14/2004,NA,NA,0.016,0.002,0.008,0.2,NA,-74.6,9.4,NA,169,0.001,NA,0.0165,20.2,8.5,1.4,112,NA
