,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms",Turbidity,DIN,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SPp,SRP,SP,"Total Phosphorus, mixed forms"
415,2008,DL,957,2.980911938,266,1.532298702,104,8.985,464,11.9,251000,500,3.64,71,10,61,,,,1,,25.5,25.5
319,2017,HU,29200,4.465382851,2150,2.385877439,59,8.2,242.9,19.4,157950,256.5,1.7025,71.05,14.75,56.3,41.79411765,14.66007905,17.87456446,0.881533101,1.7,12.65,14.35
425,2016,BN,1330,3.123851641,2830,0.777478525,81,8.3,490.3,16,318800,541.5,34.135,72.4,40.65,31.75,12.70175439,6.630388693,7.083060824,0.925441465,5.7,70.75,76.45
,2019,HU,34000,4.531478917,2150,2.510037168,88,8.485,274.9,20.4,178750,190,1.71,72.5,30,42.5,4.677419355,,13.57142857,,15.5,,14
,2018,HU,51200,4.709269961,2150,2.877026311,93,8.165,255.6,17.3,166100,234.5,2.145,74.25,15.8,58.45,41.25,10.47385621,13.71345029,0.894736842,1.8,15.3,17.1
,2019,BM,34000,4.531478917,2150,2.510037168,88,8.685,299.05,18.55,194350,170,2.9,74.5,30,44.5,5.518518519,,12.14285714,0.035714286,13.5,0.5,14
394,2012,DL,781,2.892651034,266,1.431934433,42,8.386666667,350.7333333,18.96666667,227900,336.625,3.043333333,75.1325,10.6875,64.445,5.960531535,8.933042958,8.03832607,0.699003045,12.605,29.2725,41.8775
259,2020,DL,1590,3.201397124,266,1.81484064,57,,,,,295,,77,,77,11,21.8,17.35294118,0.588235294,7,10,17
144,2014,DL,741,2.869818208,266,1.407058618,48,,,,,320,,78.25,16.15,62.1,7.279069767,17.02464789,12.8256513,0.569138277,10.75,14.2,24.95
159,2009,DL,1140,3.056904851,266,1.624330522,74,8.766666667,409,19.5,217000,,3.546666667,78.46333333,9.59,68.87333333,6.900908824,,,0.610927341,11.37,17.85333333,29.22333333
194,2010,DL,1470,3.167317335,266,1.767984959,83,8.513333333,415,14.9,220666.6667,323,4.18,78.5,8.466666667,70.03333333,3.835504885,14.0248566,8.522427441,0.45998241,20.46666667,17.43333333,37.9
508,2011,GR,2560,3.408239965,270,2.116534736,68,8.446666667,332.5666667,16.9,216233.3333,305,3.386666667,80.1,14.3,65.8,2.542857143,11.20764119,5.914673561,0.389140272,31.5,20.06666667,51.56666667
176,2016,HU,16800,4.225309282,2150,1.984374362,126,8.305,254.15,14.45,165100,207.5,2.695,80.9,17.35,63.55,67.41666667,10.55,15.71969697,0.909090909,1.2,12,13.2
,2008,BM,35500,4.550228353,2150,2.546419576,92,8.443333333,265.6666667,15.86666667,145466.6667,,2.593333333,82.33333333,40,42.33333333,,,,1,,13.33333333,13.33333333
396,2010,BN,4130,3.615950052,2830,1.134282431,5,7.76,278,15.9,148000,424,29.9,82.5,20.2,62.3,2.370689655,4.417852523,3.782337199,0.68956289,34.8,77.3,112.1
426,2013,DL,349,2.542825427,266,1.0947491,48,8.425,449.8,19.1,292500,341.42,2.43,83.4,15.905,67.495,6.84729064,15.65180467,11.91069248,0.575091575,12.18,16.485,28.665
81,2018,GR,2450,3.389166084,270,2.085774915,57,,,,,337.3333333,,85.26666667,19.4,65.86666667,11.17030568,12.3360522,12.01900237,0.728028504,7.633333333,20.43333334,28.06666667
249,2017,GR,1840,3.264817823,270,1.89591132,59,,,,,321,,86.88333333,12.53333333,74.35,19.09523809,18.21919585,18.44827586,0.738505747,4.55,12.85,17.4
84,2010,BM,23100,4.36361198,2150,2.206604536,95,8.236666667,303.6666667,13.06666667,161333.3333,264.75,3.986666667,91.175,31.925,59.25,13.31021898,13.56054688,13.47328244,0.651399491,6.85,12.8,19.65
,2008,HU,35500,4.550228353,2150,2.546419576,92,8.493333333,243.3333333,17.7,129000,200,2.423333333,93.5,15,78.5,,,,1,,15.25,15.25
290,2012,DL,781,2.892651034,266,1.431934433,72,,,,,408.8133333,,99.64666666,7.713333333,91.93333333,11.48444103,22.35478428,18.16409952,0.614484597,8.676666667,13.83,22.50666667
375,2017,HU,29200,4.465382851,2150,2.385877439,89,8.145,275.3,15.05,178750,309,2.1265,100.4,13.75,86.65,77.23076923,22.92307692,29.71153846,0.875,1.3,9.1,10.4
466,2010,FH,26400,4.421603927,7590,1.515144488,17,7.83,143.3,18.9,76100,241,12.9,100.9,58.4,42.5,7.94488189,5.741803279,6.495956873,0.657681941,12.7,24.4,37.1
173,2015,DL,628,2.797959644,266,1.331555693,105,8.385,471.1,11.7,306150,389,3.365,103.65,14.55,89.1,41.46,17.29393939,20.47368421,0.868421053,2.5,16.5,19
212,2019,GR,1420,3.152288344,270,1.739034482,87,8.65,443.9,19.7,288280,310,2.6,104,30,74,3.466666667,27.46666667,8.266666667,0.2,30,7.5,37.5
143,2011,DL,1960,3.292256071,266,1.945919238,64,8.346666667,317.4,16.26666667,206466.6667,304,4.456666667,107.9,18.43333333,89.46666667,3.690992019,9.308544302,6.043737575,0.418820411,29.23333333,21.06666667,50.3
99,2020,DL,1590,3.201397124,266,1.81484064,89,,,,,253.3333333,,109.6666667,20,89.66666667,13.16,30.78571428,19.48717948,0.358974359,8.333333333,4.666666667,13
67,2012,DL,781,2.892651034,266,1.431934433,94,8.51,412.25,12.35,268100,355.545,2.33,112.27,8.47,103.8,36.99176277,17.00034941,20.49841453,0.82502162,3.035,14.31,17.345
268,2018,GR,2450,3.389166084,270,2.085774915,83,8.285,450.85,12.9,293150,368,3.48,114.2,24.9,89.3,14.4556962,10.575,11.53605016,0.752351097,7.9,24,31.9
536,2019,GR,1420,3.152288344,270,1.739034482,124,,,,,340,,118.6666667,16.66666667,102,5.085714287,3.102803738,3.591549296,0.753521127,23.33333333,71.33333334,94.66666667
241,2018,DL,2180,3.338456494,266,2.016159805,51,8.175,411.55,14,267500,348,2.895,120.05,19.85,100.2,13.72,10.52886836,11.44736842,0.712171053,8.75,21.65,30.4
517,2011,DL,1960,3.292256071,266,1.945919238,95,8.445,375.15,11.65,244050,331.5,2.475,121.75,7.5,114.25,8.952205882,13.57605178,11.41135972,0.531841652,13.6,15.45,29.05
78,2021,DL,590,2.770852012,266,1.304137726,79,,,,,330,,123,30,93,,12.17647059,19.41176471,1,,17,17
220,2019,DL,1280,3.10720997,266,1.688273399,121,8.205,462.55,13.75,300625,350,16.985,128,20,108,6.564102564,3.264705882,4,0.777142857,19.5,68,87.5
179,2022,DL,856,2.932473765,266,1.476377358,68,8.37,490.05,19.45,,300,1.345,129.5,15,114.5,68.15789474,16.88118812,25,0.841666667,1.9,10.1,12
154,2021,DL,590,2.770852012,266,1.304137726,101,,,,,310,,139,20,119,,14.25,25.83333333,1,,12,12
,2008,GR,,,,,,8.305,260.05,13.15,138250,500,18.4,140.5,30,110.5,,,,1,,126,126
423,2021,DL,590,2.770852012,266,1.304137726,46,,,,,335,,144,30,114,72,10.05263158,15.95238095,0.904761905,2,19,21
213,2010,GR,1980,3.29666519,270,1.942825561,5,7.93,298,15.9,154800,497,19.8,144.5,25.4,119.1,3.016701461,5.138483965,4.266094421,0.588841202,47.9,68.6,116.5
87,2018,DL,2180,3.338456494,266,2.016159805,77,,,,,394,,144.6333333,14.63333333,130,31.10394265,10.84989123,14.25814234,0.83172497,4.65,22.98333333,27.63333333
79,2022,DL,856,2.932473765,266,1.476377358,100,8.28,537.3,14.1,,395,1.94,149.5,,149.5,166.1111111,34.57746479,49.375,0.8875,0.9,7.1,8
91,2010,DL,1470,3.167317335,266,1.767984959,6,8.09,285,16.4,151600,479,13.9,154.5,25.1,129.4,3.941326531,4.408967391,4.246453901,0.65248227,39.2,73.6,112.8
152,2008,DL,957,2.980911938,266,1.532298702,13,8.435,291.5,13.85,154950,275,14.65,166.5,35,131.5,,,,1,,120,120
75,2015,DL,628,2.797959644,266,1.331555693,72,,,,,406,,169.3,9.666666667,159.6333333,72.04255318,23.20588236,32.35059761,0.812749004,2.35,10.2,12.55
397,2019,DL,1280,3.10720997,266,1.688273399,87,8.495,437.3,19.65,284375,345,2.92,172.5,30,142.5,6.052631579,,13.52941176,,28.5,,25.5
158,2017,GR,1840,3.264817823,270,1.89591132,90,8.23,487.1,10.9,316600,523,2.665,194.5,13.7,180.8,17.8440367,13.63070539,14.94285714,0.688571429,10.9,24.1,35
438,2013,DL,349,2.542825427,266,1.0947491,79,,,,,502.9166667,,196.9033334,18.31666667,178.5866667,22.91349884,29.02434397,26.28026476,0.550949312,8.593333333,10.54333334,19.13666667
430,2016,DL,507,2.705007959,266,1.23986797,115,8.205,476.95,11,309750,425.5,2.24,204.4,20.8,183.6,80.15686275,16.1978022,26.2654321,0.842592593,2.55,13.65,16.2
565,2013,DL,349,2.542825427,266,1.0947491,104,8.23,496.95,14.9,323050,451.905,4.055,213.875,15.045,198.83,24.65417867,19.65565648,21.74188116,0.582631706,8.675,12.11,20.785
226,2017,DL,1560,3.193124598,266,1.803353999,90,8.185,471.1,10.65,306150,513,2.2,222.75,10.1,212.65,65.51470588,20.08650519,28.7394958,0.80952381,3.4,14.45,17.85
444,2021,DL,590,2.770852012,266,1.304137726,124,,,,,400,,242,10,232,242,13.16666667,30.76923077,0.923076923,1,12,13
286,2017,DL,1560,3.193124598,266,1.803353999,65,,,,,530.6666667,,254.6666666,13.93333333,240.7333333,67.01754385,21.12244898,31.46245059,0.774703557,3.8,13.06666667,16.86666667
