,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms",Turbidity,DIN,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SPp,SRP,SP,"Total Phosphorus, mixed forms"
287,2017,GR,1840,3.264817823,270,1.89591132,33,8.235,398.05,19,258700,284.5,2.15,16,13.5,2.5,1.059602649,12.93975904,7.935843794,0.578800558,15.1,20.75,35.85
,2008,GR,,,,,,8.386666667,471.3333333,16.3,250666.6667,200,1.643333333,16,10,6,,,,1,,21,21
442,2015,BN,1500,3.176091259,2830,0.809285218,105,8.355,479.75,13,311700,353.5,7.275,16.1,14.4,1.7,3.188118812,10.56025039,9.554054054,0.863513514,5.05,31.95,37
207,2009,BN,3700,3.568201724,2830,1.093465528,80,8.46,430.3333333,18.9,228666.6667,261,5.643333333,16.62,7.59,9.03,1.482164091,9.704037059,7.170986353,0.691913179,11.21333333,25.18333334,36.39666667
,2012,FH,42200,4.625312451,7590,1.771564185,134,8.55,211,15.25,137500,196.455,1.235,16.655,6.07,10.585,9.517142857,29.81757877,25.25128535,0.775064267,1.75,6.03,7.78
513,2010,FH,26400,4.421603927,7590,1.515144488,38,8.22,193.2333333,21.03333333,102566.6667,206,1.92,16.8,9.033333333,7.766666667,3.524475524,30.6810811,18.84146342,0.56402439,4.766666667,6.166666663,10.93333333
363,2017,MS,14700,4.167317335,2580,1.786073018,31,,,,,169,,16.9,14.9,2,4.023809524,13.89041096,11.15511551,0.722772277,4.2,10.95,15.15
542,2020,GR,2040,3.309630167,270,1.962255106,64,,,,,240,,17,,17,1.47826087,26.23529412,12,0.425,11.5,8.5,20
310,2014,HU,33400,4.523746467,2150,2.495184529,45,7.805,157.4,17.95,102400,163.5,3.695,17.1,,17.1,2.310810811,14.64,9.396551724,0.574712644,7.4,10,17.4
311,2013,MS,12300,4.089905111,2580,1.683042703,64,8.22,252,17.8,163750,163.265,3.1,17.305,15.095,2.21,4.847338936,26.25179856,17.8822563,0.60898138,3.57,5.56,9.13
