,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Phosphorus, mixed forms",Turbidity,Orthophosphate,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SNp,DIN,SN,"Total Nitrogen, mixed forms"
390,2018,BM,51200,4.709269961,2150,2.877026311,96,8.335,285.65,15.8,185600,17.45,2.31,4.85,20.5,28.65,10.13402062,7.52722063,10.34383954,0.727700831,49.15,131.35,180.5
392,2018,BM,51200,4.709269961,2150,2.877026311,127,,,,,14.46666667,,2.266666667,20.46666667,38.23333333,25.89705882,11.24193548,15.29953916,0.734789157,58.7,162.6333333,221.3333333
259,2013,BN,1080,3.033423755,2830,0.725346923,103,8.28,520,15.75,338000,28.765,7.23,7.01,11.295,1.225,1.786019971,7.774900052,8.210151225,0.946986217,12.52,223.645,236.165
258,2013,BN,1080,3.033423755,2830,0.725346923,75,8.315,507.5,17.55,329900,14.075,2.455,6.63,10.305,2.36,1.91025641,14.28277087,15.18259325,0.940733288,12.665,201.03,213.695
257,2013,BN,1080,3.033423755,2830,0.725346923,50,,,,,15.42,,5.56,18.07666667,11.175,5.261091128,18.224492,20.12148724,0.905722911,29.25166667,281.0216666,310.2733333
339,2016,BN,1330,3.123851641,2830,0.777478525,109,8.52,496.95,13,323050,47.75,9.525,7.75,19.1,2.3,2.761290323,5.583246073,6.031413613,0.925694444,21.4,266.6,288
338,2016,BN,1330,3.123851641,2830,0.777478525,81,8.3,490.3,16,318800,76.45,34.135,5.7,40.65,31.75,12.70175439,6.136036625,7.083060824,0.866297322,72.4,469.1,541.5
337,2016,BN,1330,3.123851641,2830,0.777478525,49,,,,,8.8,,1.233333333,8.033333333,1.633333333,7.837837839,22.95454545,24.05303031,0.954330709,9.666666666,202,211.6666667
312,2015,BN,1500,3.176091259,2830,0.809285218,105,8.355,479.75,13,311700,37,7.275,5.05,14.4,1.7,3.188118812,9.118918919,9.554054054,0.954455446,16.1,337.4,353.5
311,2015,BN,1500,3.176091259,2830,0.809285218,70,8.215,504.25,16.25,327600,21.15,4.165,1.9,13.15,2.85,8.421052632,11.58392435,12.34042553,0.938697318,16,245,261
310,2015,BN,1500,3.176091259,2830,0.809285218,38,,,,,10,,2.45,7.55,2.333333333,4.034013605,23.545,24.53333333,0.959714674,9.883333333,235.45,245.3333333
494,2021,BN,1650,3.217483944,2830,0.835409038,54,,,,,17.5,,5,30,5,7,11.14285714,13.14285714,0.847826087,35,195,230
542,2022,BN,2170,3.336459734,2830,0.915287995,69,,,,,19.33333333,,3.666666667,13.33333333,5,4.999999999,8.189655177,9.137931038,0.896226415,18.33333333,158.3333334,176.6666667
220,2012,BN,2180,3.338456494,2830,0.916691813,57,,,,,41.62333333,,23.54,10.02,3.026666667,0.554233928,6.359734123,6.673180108,0.953028994,13.04666667,264.7133333,277.76
222,2012,BN,2180,3.338456494,2830,0.916691813,111,,,,,22.82666667,,5.866666667,9.76,9.53,3.288068182,12.84725467,13.69231892,0.938281875,19.29,293.26,312.55
221,2012,BN,2180,3.338456494,2830,0.916691813,81,8.42,408.6,19.26666667,265666.6667,13.03666667,1.72,3.773333333,7.776666667,2.77,2.795053005,18.62899514,19.4379954,0.958380469,10.54666667,242.86,253.4066667
285,2014,BN,2620,3.418301291,2830,0.974626656,155,8.25,533,18.65,346450,33.5,3.135,17.25,17.65,4.55,1.286956522,6.217910448,6.880597015,0.903687636,22.2,208.3,230.5
286,2014,BN,2620,3.418301291,2830,0.974626656,183,8.255,504.05,14.15,327600,29.75,4.295,11.85,8.9,2.7,0.978902954,7.778151261,8.168067227,0.952263374,11.6,231.4,243
74,2008,BN,3100,3.491361694,2830,1.030841164,14,,,,,95.33333333,,,20,47.33333333,,3.839160839,4.545454545,0.844615385,67.33333333,366,433.3333333
75,2008,BN,3100,3.491361694,2830,1.030841164,40,8.553333333,387.6666667,18.7,206033.3333,48,4.406666667,,20,4.333333333,,4.354166667,4.86111111,0.895714286,24.33333333,209,233.3333333
77,2008,BN,3100,3.491361694,2830,1.030841164,103,8.66,470,13.05,249500,38,5.465,,10,5,,4.868421053,5.263157895,0.925,15,185,200
426,2019,BN,3640,3.561101384,2830,1.087522663,158,,,,,126.5,,33,16.66666667,23.5,1.217171717,2.133069828,2.450592885,0.870430108,40.16666667,269.8333333,310
423,2019,BN,3640,3.561101384,2830,1.087522663,92,8.58,423.5,18.65,275275,44.5,4.51,39,13.65,5,0.478205128,3.738202247,4.157303371,0.899189189,18.65,166.35,185
425,2019,BN,3640,3.561101384,2830,1.087522663,130,,,,,27.66666667,,26.66666667,30,3,1.2375,5.674698794,6.867469879,0.826315789,33,157,190
110,2009,BN,3700,3.568201724,2830,1.093465528,80,8.46,430.3333333,18.9,228666.6667,36.39666667,5.643333333,11.21333333,7.59,9.03,1.482164091,6.71435113,7.170986353,0.936321839,16.62,244.38,261
