,date_yearmon,Site.OLD,Site,ActivityStartDate,Day,Month,Year,Ammonia,Kjeldahl nitrogen,Nitrate + Nitrite,Orthophosphate,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms","Total Phosphorus, mixed forms",Turbidity
609,Jul-08,Clark Fork River above Little Blackfoot,GR,7/16/2008,16,7,2008,,,,,8.6,366.6666667,19.23333333,194933.3333,,,3.796666667
54,Aug-08,Clark Fork River above Little Blackfoot,GR,8/20/2008,20,8,2008,10,200,6,,8.386666667,471.3333333,16.3,250666.6667,,21,1.643333333
55,Sep-08,Clark Fork River above Little Blackfoot,GR,9/17/2008,17,9,2008,10,250,41,,8.965,471,12.35,250500,,33.5,3.18
56,Jun-09,Clark Fork River above Little Blackfoot,GR,6/24/2009,24,6,2009,16.54,,53.83,39.01,8.36,282,15.9,149900,,86.33,11.5
57,Jul-09,Clark Fork River above Little Blackfoot,GR,7/9/2009,9,7,2009,5.3,,11.1025,21.296,,,,,,,
716,Jul-09,Clark Fork River above Little Blackfoot,GR,7/11/2009,11,7,2009,,,,,,,,,325.25,47.4125,
610,Jul-09,Clark Fork River above Little Blackfoot,GR,7/15/2009,15,7,2009,,,,,8.38,340.6666667,17.63333333,181233.3333,,,6.36
58,Aug-09,Clark Fork River above Little Blackfoot,GR,8/14/2009,14,8,2009,7.573333333,,14.30666667,15.94,8.603333333,429.3333333,19.36666667,228000,262,35.73666667,2.81
59,Sep-09,Clark Fork River above Little Blackfoot,GR,9/9/2009,9,9,2009,8.43,,6.05,8.946666667,8.35,446.6666667,17.73333333,237333.3333,233.6666667,20.80666667,2.326666667
60,Jun-10,Clark Fork River above Little Blackfoot,GR,6/23/2010,23,6,2010,25.4,,119.1,47.9,7.93,298,15.9,154800,497,116.5,19.8
61,Jul-10,Clark Fork River above Little Blackfoot,GR,7/14/2010,14,7,2010,12.75,,17.975,25.9,8.08,326.3333333,19.26666667,175266.6667,306,53.775,4.556666667
62,Aug-10,Clark Fork River above Little Blackfoot,GR,8/11/2010,11,8,2010,8.8,,14.6,37.63333333,8.266666667,401,20.13333333,213000,363.3333333,88.53333333,22.74
63,Sep-10,Clark Fork River above Little Blackfoot,GR,9/8/2010,8,9,2010,10.3,,33.56666667,18.13333333,8.443333333,426.3333333,14.53333333,226333.3333,281,37.63333333,3.786666667
611,Jun-11,Clark Fork River above Little Blackfoot,GR,6/25/2011,25,6,2011,,,,,8.15,254.8,14.6,165400,,,13.75
64,Jun-11,Clark Fork River above Little Blackfoot,GR,6/27/2011,27,6,2011,15.2,,32.9,34.43333333,,,,,,86.5,
717,Jun-11,Clark Fork River above Little Blackfoot,GR,6/29/2011,29,6,2011,,,,,,,,,337,,
65,Jul-11,Clark Fork River above Little Blackfoot,GR,7/20/2011,20,7,2011,12.63333333,,38.46666667,27.5,8.25,263.5333333,15.5,171366.6667,296,75.83333333,12.14333333
66,Aug-11,Clark Fork River above Little Blackfoot,GR,8/17/2011,17,8,2011,14.3,,65.8,31.5,8.446666667,332.5666667,16.9,216233.3333,305,51.56666667,3.386666667
67,Sep-11,Clark Fork River above Little Blackfoot,GR,9/17/2011,17,9,2011,12.7,,56.4,15.65,8.565,383.05,11.8,248950,304.5,32.3,2.82
