 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Agency Collecting Sample Code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Agency analyzing sample, code"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Carbon dioxide, water, unfiltered, milligrams per liter"," Hardness, water, milligrams per liter as calcium carbonate"," Noncarbonate hardness, water, filtered, lab, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Sodium, water, filtered, milligrams per liter"," Sodium adsorption ratio (SAR), water, number"," Sodium fraction of cations, water, percent in equivalents of major cations"," Potassium, water, filtered, milligrams per liter"," Chloride, water, filtered, milligrams per liter"," Sulfate, water, filtered, milligrams per liter"," Fluoride, water, filtered, milligrams per liter"," Silica, water, filtered, milligrams per liter as SiO2"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Aluminum, water, unfiltered, recoverable, micrograms per liter"," Aluminum, water, filtered, micrograms per liter"," Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, broad band light source (400"," Turbidity, water, unfiltered, monochrome near infra"," Turbidity, water, unfiltered, monochrome near infra"," Dissolved solids, water, filtered, sum of constituents, milligrams per liter"," Dissolved solids, water, short tons per day"," Dissolved solids, water, filtered, short tons per acre"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 50 uS/cm KCl, National Field Supply Service (NFSS) stock number Q42FLD"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12324200,DL,1/13/2014,13,1,2014,14:16,,,MST,K,OBSERVER,WS,,,,4,,,,,,,,1,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,10,,,,,31,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/17/2014,17,1,2014,15:55,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,10,,,,,19,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/17/2014,17,1,2014,15:56,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,10,,,,,19,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/21/2014,21,1,2014,15:50,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,21,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/21/2014,21,1,2014,15:51,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,19,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/25/2014,25,1,2014,15:45,,,MST,K,OBSERVER,WS,,,,3.5,,,,,,,,1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,19,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/25/2014,25,1,2014,15:46,,,MST,K,OBSERVER,WS,,,,3.5,,,,,,,,1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,16,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/29/2014,29,1,2014,16:45,,,MST,K,OBSERVER,WS,,,,4,,,,,,,,1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,15,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,1/29/2014,29,1,2014,16:46,,,MST,K,OBSERVER,WS,,,,4,,,,,,,,1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,15,,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/1/2014,1,2,2014,10:30,,,MST,K,OBSERVER,WS,,,,0,,,,,,,,1,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,10,,,,,20,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/1/2014,1,2,2014,10:31,,,MST,K,OBSERVER,WS,,,,0,,,,,,,,1,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,10,,,,,21,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/5/2014,5,2,2014,16:22,,,MST,K,OBSERVER,WS,,,,-3,,,,,,,,1,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,10,,,,,29,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/5/2014,5,2,2014,16:23,,,MST,K,OBSERVER,WS,,,,-3,,,,,,,,1,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,10,,,,,29,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/9/2014,9,2,2014,15:47,,,MST,K,OBSERVER,WS,,,,1,,,,,,,,1,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,10,,,,,37,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/9/2014,9,2,2014,15:48,,,MST,K,OBSERVER,WS,,,,1,,,,,,,,1,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,10,,,,,44,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/13/2014,13,2,2014,16:00,,,MST,K,OBSERVER,WS,,,,2.5,,,,,,,,1,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,10,,,,,54,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/13/2014,13,2,2014,16:01,,,MST,K,OBSERVER,WS,,,,2.5,,,,,,,,1,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,10,,,,,58,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/17/2014,17,2,2014,16:20,,,MST,K,OBSERVER,WS,,,,3,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,76,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/17/2014,17,2,2014,16:21,,,MST,K,OBSERVER,WS,,,,3,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,76,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/21/2014,21,2,2014,15:35,,,MST,K,OBSERVER,WS,,,,5,,,,,,,,1,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,58,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/21/2014,21,2,2014,15:36,,,MST,K,OBSERVER,WS,,,,5,,,,,,,,1,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,10,,,,,49,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/25/2014,25,2,2014,18:00,,,MST,K,OBSERVER,WS,,,,1,,,,,,,,1,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,10,,,,,131,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,2/25/2014,25,2,2014,18:01,,,MST,K,OBSERVER,WS,,,,1,,,,,,,,1,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,10,,,,,135,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/4/2014,4,3,2014,17:00,,,MST,K,OBSERVER,WS,,,,3.7,,,,,,,,1,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,128,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/4/2014,4,3,2014,17:01,,,MST,K,OBSERVER,WS,,,,3.7,,,,,,,,1,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,133,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/5/2014,5,3,2014,15:20,,,MST,K,OBSERVER,WS,,,,3.7,,,,,,,,1,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,10,,,,,85,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/5/2014,5,3,2014,15:21,,,MST,K,OBSERVER,WS,,,,3.7,,,,,,,,1,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,10,,,,,91,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/6/2014,6,3,2014,16:30,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,10,,,,,1150,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/6/2014,6,3,2014,16:31,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,,,,10,,,,,1440,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/7/2014,7,3,2014,16:00,,,MST,K,OBSERVER,WS,,,,3.6,,,,,,,,1,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,10,,,,,205,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/7/2014,7,3,2014,16:01,,,MST,K,OBSERVER,WS,,,,3.6,,,,,,,,1,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,10,,,,,205,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/8/2014,8,3,2014,11:30,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,10,,,,,114,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/8/2014,8,3,2014,11:31,,,MST,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,10,,,,,131,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/9/2014,9,3,2014,14:05,,,MDT,K,OBSERVER,WS,,,,5,,,,,,,,1,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,10,,,,,307,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/9/2014,9,3,2014,14:06,,,MDT,K,OBSERVER,WS,,,,5,,,,,,,,1,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,10,,,,,263,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/10/2014,10,3,2014,16:00,,,MDT,K,OBSERVER,WS,,,,3.5,,,,,,,,1,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,10,,,,,249,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/10/2014,10,3,2014,16:01,,,MDT,K,OBSERVER,WS,,,,3.5,,,,,,,,1,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,10,,,,,234,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/11/2014,11,3,2014,16:20,,,MDT,K,OBSERVER,WS,,,,5.3,,,,,,,,1,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,10,,,,,108,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/11/2014,11,3,2014,16:21,,,MDT,K,OBSERVER,WS,,,,5.3,,,,,,,,1,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,10,,,,,109,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/12/2014,12,3,2014,14:02,,,MDT,K,OBSERVER,WS,,,,4.5,,,,,,,,1,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,10,,,,,76,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/12/2014,12,3,2014,14:03,,,MDT,K,OBSERVER,WS,,,,4.5,,,,,,,,1,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,10,,,,,65,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/13/2014,13,3,2014,16:07,,,MDT,K,OBSERVER,WS,,,,5.5,,,,,,,,1,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,10,,,,,55,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/13/2014,13,3,2014,16:08,,,MDT,K,OBSERVER,WS,,,,5.5,,,,,,,,1,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,10,,,,,48,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/14/2014,14,3,2014,14:35,,,MDT,K,OBSERVER,WS,,,,4.3,,,,,,,,1,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,10,,,,,47,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/14/2014,14,3,2014,14:36,,,MDT,K,OBSERVER,WS,,,,4.3,,,,,,,,1,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,10,,,,,44,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/15/2014,15,3,2014,15:17,,,MDT,K,OBSERVER,WS,,,,5.8,,,,,,,,1,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,10,,,,,42,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/15/2014,15,3,2014,15:18,,,MDT,K,OBSERVER,WS,,,,5.8,,,,,,,,1,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,10,,,,,40,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/16/2014,16,3,2014,15:43,,,MDT,K,OBSERVER,WS,,,,6.5,,,,,,,,1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,51,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/16/2014,16,3,2014,15:44,,,MDT,K,OBSERVER,WS,,,,6.5,,,,,,,,1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,48,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/17/2014,17,3,2014,17:30,,,MDT,K,OBSERVER,WS,,,,4,,,,,,,,1,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,10,,,,,48,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/17/2014,17,3,2014,17:31,,,MDT,K,OBSERVER,WS,,,,4,,,,,,,,1,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,10,,,,,48,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/18/2014,18,3,2014,16:50,,,MDT,K,OBSERVER,WS,,,,3.5,,,,,,,,1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,42,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/18/2014,18,3,2014,16:51,,,MDT,K,OBSERVER,WS,,,,3.5,,,,,,,,1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,47,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/19/2014,19,3,2014,16:05,,,MDT,K,OBSERVER,WS,,,,4.8,,,,,,,,1,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,42,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/19/2014,19,3,2014,16:06,,,MDT,K,OBSERVER,WS,,,,4.8,,,,,,,,1,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,10,,,,,42,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/20/2014,20,3,2014,16:20,,,MDT,K,OBSERVER,WS,,,,4.2,,,,,,,,1,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,10,,,,,,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/20/2014,20,3,2014,16:21,,,MDT,K,OBSERVER,WS,,,,4.2,,,,,,,,1,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,10,,,,,38,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/21/2014,21,3,2014,15:00,,,MDT,K,OBSERVER,WS,,,,4,,,,,,,,1,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,10,,,,,31,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/21/2014,21,3,2014,15:01,,,MDT,K,OBSERVER,WS,,,,4,,,,,,,,1,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,10,,,,,31,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/22/2014,22,3,2014,16:50,,,MDT,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,10,,,,,31,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/22/2014,22,3,2014,16:51,,,MDT,K,OBSERVER,WS,,,,4.5,,,,,,,,1,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,10,,,,,35,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/23/2014,23,3,2014,16:15,,,MDT,K,OBSERVER,WS,,,,5.2,,,,,,,,1,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,32,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/23/2014,23,3,2014,16:16,,,MDT,K,OBSERVER,WS,,,,5.2,,,,,,,,1,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,31,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/24/2014,24,3,2014,15:45,,,MDT,K,OBSERVER,WS,,,,6,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,34,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/24/2014,24,3,2014,15:46,,,MDT,K,OBSERVER,WS,,,,6,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,34,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/25/2014,25,3,2014,13:55,,,MDT,K,USGS-WRD,WS,,,,6,20,,,,,,250,,2.76,521,0.00001,8.2,8.1,,228,,66.5,14.9,,,,,,,,,11.7,16.9,0.064,0.377,6.1,50.2,790,18.3,0.169,6.9,131,66.1,8.1,40.1,,,,0.84,,7.1,,,,,,,,,,,82,,,,,,30,20,,10,3044,,,494,,,,,20,30,,,,,,,,,,,,,,
USGS,12324200,DL,3/25/2014,25,3,2014,13:56,,,MDT,K,USGS-WRD,WS,,,,6,20,,,,,,250,1,2.76,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,7.1,,,,,,,,,,,,10,,,,,32,22,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/25/2014,25,3,2014,13:57,,,MDT,K,USGS-WRD,WS,,,,6,20,,,,,,250,1,2.76,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,7.1,,,,,,,,,,,,10,,,,,32,22,,30,3030,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/25/2014,25,3,2014,16:25,,,MDT,K,OBSERVER,WS,,,,7.7,,,,,,,,1,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,34,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/25/2014,25,3,2014,16:26,,,MDT,K,OBSERVER,WS,,,,7.7,,,,,,,,1,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,25,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/26/2014,26,3,2014,16:05,,,MDT,K,OBSERVER,WS,,,,6.8,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,28,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/26/2014,26,3,2014,16:06,,,MDT,K,OBSERVER,WS,,,,6.8,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,30,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/27/2014,27,3,2014,15:15,,,MDT,K,OBSERVER,WS,,,,5,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,31,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324200,DL,3/27/2014,27,3,2014,15:16,,,MDT,K,OBSERVER,WS,,,,5,,,,,,,,1,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,10,,,,,28,,,30,3007,,,,,,,,,,,,,,,,,,,,,,,
