agency_cd,SITE,datetime,Day,Month,Year,Temp_Mean,10s,Temp Max,10s,Temp Min,10s,Discharge_CFS,10s
USGS,12324200,10/5/1997,5,10,1997,8.5,A,9.5,A,7,A,292,A
USGS,12324200,10/6/1997,6,10,1997,7,A,8.5,A,6,A,319,A
USGS,12324200,10/7/1997,7,10,1997,7.5,A,8,A,7,A,325,A
USGS,12324200,10/8/1997,8,10,1997,7,A,8,A,6,A,366,A
USGS,12324200,10/9/1997,9,10,1997,7,A,8,A,6.5,A,353,A
USGS,12324200,10/10/1997,10,10,1997,6.5,A,7.5,A,6,A,340,A
USGS,12324200,10/11/1997,11,10,1997,6.5,A,7,A,6,A,356,A
USGS,12324200,10/12/1997,12,10,1997,5.5,A,6,A,5,A,366,A
USGS,12324200,10/13/1997,13,10,1997,5.5,A,6.5,A,4.5,A,352,A
USGS,12324200,10/14/1997,14,10,1997,6,A,7,A,5,A,349,A
USGS,12324200,10/15/1997,15,10,1997,7,A,8,A,5.5,A,350,A
USGS,12324200,10/16/1997,16,10,1997,7.5,A,9.5,A,6,A,341,A
USGS,12324200,10/17/1997,17,10,1997,8,A,9.5,A,6.5,A,330,A
USGS,12324200,10/18/1997,18,10,1997,7.5,A,8.5,A,7,A,324,A
USGS,12324200,10/19/1997,19,10,1997,7,A,8.5,A,6,A,323,A
USGS,12324200,10/20/1997,20,10,1997,7.5,A,9,A,6.5,A,323,A
USGS,12324200,10/21/1997,21,10,1997,6.5,A,7.5,A,5.5,A,318,A
USGS,12324200,10/22/1997,22,10,1997,6,A,7.5,A,5,A,309,A
USGS,12324200,10/23/1997,23,10,1997,6,A,7,A,5,A,322,A
USGS,12324200,10/24/1997,24,10,1997,4.5,A,5,A,4,A,338,A
USGS,12324200,10/25/1997,25,10,1997,3.5,A,4.5,A,2,A,338,A
USGS,12324200,10/26/1997,26,10,1997,4,A,5.5,A,2,A,342,A
USGS,12324200,10/27/1997,27,10,1997,5,A,6,A,4.5,A,347,A
USGS,12324200,10/28/1997,28,10,1997,4.5,A,5,A,4,A,346,A
USGS,12324200,10/29/1997,29,10,1997,5,A,5.5,A,4.5,A,345,A
USGS,12324200,10/30/1997,30,10,1997,6,A,6.5,A,5,A,343,A
USGS,12324200,10/31/1997,31,10,1997,6,A,6.5,A,5.5,A,370,A
USGS,12324200,11/1/1997,1,11,1997,5,A,5.5,A,4.5,A,374,A
USGS,12324200,11/2/1997,2,11,1997,4,A,5,A,2,A,353,A
USGS,12324200,11/3/1997,3,11,1997,4,A,5,A,2.5,A,349,A
USGS,12324200,11/4/1997,4,11,1997,5.5,A,6.5,A,4.5,A,351,A
USGS,12324200,11/5/1997,5,11,1997,5,A,6,A,4,A,351,A
USGS,12324200,11/6/1997,6,11,1997,4.5,A,6,A,3,A,344,A
USGS,12324200,11/7/1997,7,11,1997,5.5,A,6.5,A,5,A,340,A
USGS,12324200,11/8/1997,8,11,1997,3.5,A,5,A,3,A,342,A
USGS,12324200,11/9/1997,9,11,1997,3.5,A,4.5,A,2.5,A,345,A
USGS,12324200,11/10/1997,10,11,1997,2.5,A,3.5,A,1.5,A,343,A
USGS,12324200,11/11/1997,11,11,1997,1.5,A,2,A,0.5,A,324,A
USGS,12324200,11/12/1997,12,11,1997,1,A,2,A,0,A,315,A
USGS,12324200,11/13/1997,13,11,1997,1,A,2,A,0,A,320,A
USGS,12324200,11/14/1997,14,11,1997,0.5,A,1,A,0,A,306,A
USGS,12324200,11/15/1997,15,11,1997,0.5,A,0.5,A,0,A,295,A
USGS,12324200,11/16/1997,16,11,1997,0.5,A,0.5,A,0,A,300,A
USGS,12324200,11/17/1997,17,11,1997,1,A,2,A,0,A,297,A
USGS,12324200,11/18/1997,18,11,1997,2,A,3,A,2,A,310,A
USGS,12324200,11/19/1997,19,11,1997,2,A,2.5,A,1.5,A,320,A
